"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test: Submit an online consent form giving consent for flu vaccination
   (nasal spray, injection, or both) and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Agree to flu vaccination, selecting the consent option
   (nasal spray, injection, or both).
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, consent option,
  and health question status.
","9384","test_consent_given_for_flu_vaccination[yes_to_health_questions: False-consent_option: Injection]","tests","Fri Sep 12 10:27:37 BST 2025","passed","Fri Sep 12 10:27:47 BST 2025","","test_online_consent_flu","",""
"
Test: Attempt to add a batch with a name that is too long and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with more than 100 characters.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be less than 100 characters.
","1235","test_batch_name_too_long[MenQuadfi]","tests","Fri Sep 12 10:26:18 BST 2025","passed","Fri Sep 12 10:26:19 BST 2025","","test_vaccines","",""
"
Test: Upload a class list file with invalid structure and verify error handling.
Steps:
1. Navigate to class list import page for the correct school and year group.
2. Upload a file with incorrect structure.
Verification:
- Output indicates structural errors.
","4170","test_class_list_file_upload_invalid_structure","tests","Fri Sep 12 10:26:50 BST 2025","passed","Fri Sep 12 10:26:54 BST 2025","","test_import_records","",""
"
Test: Upload an empty vaccination records file and verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload an empty file.
Verification:
- Output indicates error or no records imported.
","625","test_vaccination_file_upload_empty_file","tests","Fri Sep 12 10:30:59 BST 2025","passed","Fri Sep 12 10:31:00 BST 2025","","test_import_records","",""
"
Test: Log in with valid credentials for each user role and verify dashboard links.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Log in as the specified user role and select team if necessary.
3. Verify that all expected dashboard links are visible.
4. Log out.
Verification:
- Log out button and all dashboard navigation links are visible after login.
","1800","test_login_with_valid_credentials[role: nurse]","tests","Fri Sep 12 10:29:57 BST 2025","passed","Fri Sep 12 10:29:59 BST 2025","","test_log_in","",""
"
Test: Submit an online consent form giving consent for HPV vaccination and
   verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to HPV vaccination.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccine, and
  health question status.
","9004","test_consent_given_for_hpv_vaccination[yes_to_health_questions: False-change_school: True]","tests","Fri Sep 12 10:30:59 BST 2025","passed","Fri Sep 12 10:31:08 BST 2025","","test_online_consent_hpv","",""
"
Test: Archive a child via cohort upload and then unarchive by re-uploading.
Steps:
1. Import a fixed child cohort file.
2. Archive the child from the children page.
3. Re-import the same cohort file.
4. Verify the child is unarchived.
Verification:
- Child is archived after first import and unarchived after second import.
","20308","test_archive_and_unarchive_child_via_cohort_upload","tests","Fri Sep 12 10:25:49 BST 2025","passed","Fri Sep 12 10:26:09 BST 2025","","test_programmes","",""
"
Test: Upload a child list file with extra whitespace and verify normalization.
Steps:
1. Upload a file with whitespace issues.
2. Navigate to children page.
3. Verify the list is normalized and imported correctly.
Verification:
- Imported list matches expected normalized data.
","11058","test_child_list_file_upload_whitespace_normalization","tests","Fri Sep 12 10:25:38 BST 2025","passed","Fri Sep 12 10:25:49 BST 2025","","test_import_records","",""
"
Test: Submit an online consent form refusing doubles vaccination and
   verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Select 'do not agree' to vaccination.
3. Choose refusal reason and provide details.
4. Submit the consent form.
Verification:
- Confirmation text indicates consent was refused for MenACWY and Td/IPV.
","6023","test_consent_refused_for_doubles_vaccination","tests","Fri Sep 12 10:24:55 BST 2025","passed","Fri Sep 12 10:25:01 BST 2025","","test_online_consent_doubles","",""
"
Test: Upload a cohort file with only headers and verify no records are imported.
Steps:
1. Navigate to cohort import page.
2. Upload a header-only file.
Verification:
- No records are imported and appropriate message is shown.
","668","test_cohort_upload_with_header_only_file","tests","Fri Sep 12 10:25:35 BST 2025","passed","Fri Sep 12 10:25:36 BST 2025","","test_programmes","",""
"
Test: Log in with valid credentials for each user role and verify dashboard links.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Log in as the specified user role and select team if necessary.
3. Verify that all expected dashboard links are visible.
4. Log out.
Verification:
- Log out button and all dashboard navigation links are visible after login.
","1966","test_login_with_valid_credentials[role: medical_secretary]","tests","Fri Sep 12 10:29:53 BST 2025","passed","Fri Sep 12 10:29:55 BST 2025","","test_log_in","",""
"
Test: Submit an online consent form giving consent for one or both
   doubles vaccinations and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to one or both doubles vaccinations as specified by parameter.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. If not both vaccines, select a reason for not giving consent to the other.
6. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccines,
   and health question status.
","11633","test_consent_given_for_doubles_vaccination[yes_to_health_questions: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Fri Sep 12 10:29:27 BST 2025","passed","Fri Sep 12 10:29:39 BST 2025","","test_online_consent_doubles","",""
"
Test: Upload a SystmOne vaccination records file with valid data and verify import.
Steps:
1. Navigate to vaccination records import page.
2. Upload a SystmOne file with valid data.
Verification:
- Output indicates successful import of SystmOne records.
","3125","test_vaccination_file_upload_systmone_valid_data","tests","Fri Sep 12 10:35:32 BST 2025","passed","Fri Sep 12 10:35:36 BST 2025","","test_import_records","",""
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","4266","test_batch_add_change_archive[Gardasil 9]","tests","Fri Sep 12 10:24:58 BST 2025","passed","Fri Sep 12 10:25:02 BST 2025","","test_vaccines","",""
"
Test: Submit multiple online flu consent forms with different methods and
   verify the correct method is displayed in the session.
Steps:
1. Fill in child and parent details and submit consent with the first method.
2. Submit a second consent for the same child with the
   second method (different parent).
3. Navigate to the session and consent tab.
4. Search for the child and verify the correct consent method is shown.
Verification:
- The consent method displayed in the session matches the expected method
  from the last consent.
","0","test_flu_consent_method_displayed_correctly[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>)]","tests","Fri Sep 12 10:35:03 BST 2025","failed","Fri Sep 12 10:35:03 BST 2025","","test_online_consent_flu","",""
"
Test: Record two consents from the same parent (positive then refusal)
   and verify activity log.
Steps:
1. Open the session and consent tab for the child.
2. Record a written positive consent for parent 1.
3. Record a triage outcome as safe to vaccinate.
4. Record a verbal refusal for the same parent.
5. Check the consent refused text and session activity log.
Verification:
- Consent refused text is shown for the parent.
- Activity log contains entries for refusal, triage, and initial consent.
","0","test_parent_provides_consent_twice","tests","Fri Sep 12 10:44:28 BST 2025","failed","Fri Sep 12 10:44:28 BST 2025","","test_verbal_consent","",""
"
Test: Upload an empty child list file and verify error handling.
Steps:
1. Navigate to child record import page.
2. Upload an empty file.
Verification:
- Output indicates error or no records imported.
","645","test_child_list_file_upload_empty_file","tests","Fri Sep 12 10:25:33 BST 2025","passed","Fri Sep 12 10:25:33 BST 2025","","test_import_records","",""
"
Test: Upload an empty class list file and verify error handling.
Steps:
1. Navigate to class list import page for the correct school and year group.
2. Upload an empty file.
Verification:
- Output indicates error or no records imported.
","3417","test_class_list_file_upload_empty_file","tests","Fri Sep 12 10:27:27 BST 2025","passed","Fri Sep 12 10:27:30 BST 2025","","test_import_records","",""
"
Test: Record verbal refusal of consent and verify activity log entry.
Steps:
1. Schedule session and import class list.
2. Record verbal refusal for the child.
3. Select 'consent refused' in session and check activity log.
Verification:
- Activity log contains entry for consent refusal by the parent.
","20673","test_triage_consent_refused_and_activity_log","tests","Fri Sep 12 10:26:59 BST 2025","passed","Fri Sep 12 10:27:19 BST 2025","","test_programmes","",""
"
Test: Attempt to log in with invalid or empty credentials and verify error message.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Attempt to log in with the given username and password.
Verification:
- Error message is displayed indicating invalid credentials.
","651","test_login_with_invalid_credentials[password: invalid-username: ]","tests","Fri Sep 12 10:29:49 BST 2025","passed","Fri Sep 12 10:29:49 BST 2025","","test_log_in","",""
"
Test: Upload a child list file with only headers and verify no records are imported.
Steps:
1. Navigate to child record import page.
2. Upload a header-only file.
Verification:
- Output indicates no records imported.
","650","test_child_list_file_upload_header_only","tests","Fri Sep 12 10:25:27 BST 2025","passed","Fri Sep 12 10:25:28 BST 2025","","test_import_records","",""
"
Test: Attempt to create an invalid session and verify error handling.
Steps:
1. Navigate to sessions page.
2. Attempt to create a session with invalid data for the school and programme.
Verification:
- Error is shown or invalid session is not created.
","2537","test_create_invalid_session","tests","Fri Sep 12 10:31:08 BST 2025","passed","Fri Sep 12 10:31:11 BST 2025","","test_sessions","",""
