"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test: Verify the search functionality within a session.
Steps:
1. Open a session with a random child.
2. Use the search feature to look for children.
Verification:
- Search returns expected results for the session.
","1486","test_session_search_functionality","tests","Thu Sep 04 14:29:57 BST 2025","passed","Thu Sep 04 14:29:59 BST 2025","","test_sessions","",""
"
Test: Verify children page headers and filtering by child name.
Steps:
1. Setup: Import a fixed child class list and navigate to the children page.
2. Search for a child using all filters by name.
3. Verify the table headers are correct.
Verification:
- Assert that exactly one child is found in the results.
","4401","test_children_page_headers_and_filtering","tests","Thu Sep 04 14:32:07 BST 2025","passed","Thu Sep 04 14:32:12 BST 2025","","test_children","",""
"
Test: Upload a SystmOne historic vaccination records file with invalid data and verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload a SystmOne historic file with invalid data.
Verification:
- Output lists errors as expected for each record
","2250","test_vaccination_file_upload_systmone_historic_invalid_data","tests","Thu Sep 04 14:33:34 BST 2025","passed","Thu Sep 04 14:33:36 BST 2025","","test_import_records","",""
"
Test: Submit multiple online flu consent forms with different methods and verify the correct method is displayed in the session.
Steps:
1. Fill in child and parent details and submit consent with the first method.
2. Submit a second consent for the same child with the second method (different parent).
3. Navigate to the session and consent tab.
4. Search for the child and verify the correct consent method is shown.
Verification:
- The consent method displayed in the session matches the expected method from the last consent.
","32391","test_flu_consent_method_displayed_correctly[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>)]","tests","Thu Sep 04 14:30:40 BST 2025","passed","Thu Sep 04 14:31:12 BST 2025","","test_online_consent_flu","",""
"
Test: Record verbal refusal of consent and verify activity log entry.
Steps:
1. Schedule session and import class list.
2. Record verbal refusal for the child.
3. Select 'consent refused' in session and check activity log.
Verification:
- Activity log contains entry for consent refusal by the parent.
","20956","test_triage_consent_refused_and_activity_log","tests","Thu Sep 04 14:25:36 BST 2025","passed","Thu Sep 04 14:25:57 BST 2025","","test_programmes","",""
"
Test: Verify attendance filters on the register tab work as expected.
Steps:
1. Open the register tab in a session.
2. Check and uncheck year group checkboxes and update results.
3. Use advanced filters to include archived records.
Verification:
- Search summary updates correctly as filters are applied and removed.
","6641","test_attendance_filters_functionality","tests","Thu Sep 04 14:29:29 BST 2025","passed","Thu Sep 04 14:29:36 BST 2025","","test_sessions","",""
"
Test: Submit an online consent form giving consent for flu vaccination (nasal spray, injection, or both) and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Agree to flu vaccination, selecting the consent option (nasal spray, injection, or both).
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, consent option, and health question status.
","8418","test_consent_given_for_flu_vaccination[health_question: False-consent_option: Injection]","tests","Thu Sep 04 14:26:12 BST 2025","passed","Thu Sep 04 14:26:21 BST 2025","","test_online_consent_flu","",""
"
Test: Submit an online consent form giving consent for HPV vaccination and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to HPV vaccination.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccine, and health question status.
","9785","test_consent_given_for_hpv_vaccination[health_question: True-change_school: False]","tests","Thu Sep 04 14:30:53 BST 2025","passed","Thu Sep 04 14:31:03 BST 2025","","test_online_consent_hpv","",""
"
Test: Submit an online consent form giving consent for one or both doubles vaccinations and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to one or both doubles vaccinations as specified by parameter.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. If not both vaccines, select a reason for not giving consent to the other.
6. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccines, and health question status.
","11532","test_consent_given_for_doubles_vaccination[health_question: False-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Thu Sep 04 14:24:23 BST 2025","passed","Thu Sep 04 14:24:35 BST 2025","","test_online_consent_doubles","",""
"
Test: Upload a vaccination records file with extra whitespace and verify normalization.
Steps:
1. Upload a file with whitespace issues.
2. Navigate to children page.
3. Verify the list is normalized and imported correctly.
Verification:
- Imported list matches expected normalized data.
","34205","test_vaccination_file_upload_whitespace_normalization","tests","Thu Sep 04 14:34:00 BST 2025","passed","Thu Sep 04 14:34:34 BST 2025","","test_import_records","",""
