"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test: Match an unmatched consent response to a child and verify activity log.
Steps:
1. Import a fixed child class list for the current year.
2. Navigate to unmatched consent responses and select a child.
3. Click match and complete the matching process.
4. Verify the child is removed from unmatched responses.
5. Go to children page and verify activity log for the matched child.
Verification:
- Matched alert is visible.
- Consent response for the child is no longer visible in unmatched list.
- Activity log for the child shows the match event.
","37929","test_match_unmatched_consent_response_and_verify_activity_log","tests","Mon Oct 06 09:21:38 BST 2025","passed","Mon Oct 06 09:22:16 BST 2025","","test_consent_responses","",""
"
Test: Verify that the start page heading and start link are visible.
Steps:
1. Navigate to the start page.
2. Check that the heading is visible.
3. Check that the start link is visible.
Verification:
- Both the heading and start link are present and visible on the page.
","1235","test_start_page_elements_visible","tests","Mon Oct 06 09:21:08 BST 2025","passed","Mon Oct 06 09:21:09 BST 2025","","test_start","",""
"
Test: Record two consents from the same parent (positive then refusal)
   and verify activity log.
Steps:
1. Open the session and consent tab for the child.
2. Record a written positive consent for parent 1.
3. Record a triage outcome as safe to vaccinate.
4. Record a verbal refusal for the same parent.
5. Check the consent refused text and session activity log.
Verification:
- Consent refused text is shown for the parent.
- Activity log contains entries for refusal, triage, and initial consent.
","21922","test_parent_provides_consent_twice","tests","Mon Oct 06 09:22:04 BST 2025","passed","Mon Oct 06 09:22:25 BST 2025","","test_verbal_consent","",""
"
Test: Upload a SystmOne historic flu vaccination file for previous years and verify
   it is disallowed.
Steps:
1. Upload a SystmOne historic flu file for previous years.
Verification:
- Output indicates flu vaccinations for previous years are not allowed.
","1272","test_vaccination_file_upload_systmone_disallow_flu_for_previous_years","tests","Mon Oct 06 09:16:46 BST 2025","passed","Mon Oct 06 09:16:47 BST 2025","","test_import_vaccinations","",""
"
Test: Upload a historic vaccination records file with invalid data and
   verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload a historic file with invalid data.
Verification:
- Output lists errors as expected for each record
","2350","test_vaccination_file_upload_historic_invalid_data","tests","Mon Oct 06 09:14:16 BST 2025","passed","Mon Oct 06 09:14:18 BST 2025","","test_import_vaccinations","",""
"
Test: Export session data to Excel and send clinic invitations,
   then verify vaccination record.
Steps:
1. Schedule session, import class list, and send clinic invitations.
2. Record verbal consent and register child as attending.
3. Record vaccination for the child at the clinic.
4. Verify vaccination outcome and Excel export.
Verification:
- Vaccination outcome is recorded and session Excel export is available.
","32618","test_verify_excel_export_and_clinic_invitation","tests","Mon Oct 06 09:21:05 BST 2025","passed","Mon Oct 06 09:21:37 BST 2025","","test_sessions","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","804","test_batch_name_too_short[Nimenrix]","tests","Mon Oct 06 09:12:40 BST 2025","passed","Mon Oct 06 09:12:41 BST 2025","","test_vaccines","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","1291","test_batch_name_too_short[Gardasil 9]","tests","Mon Oct 06 09:12:26 BST 2025","passed","Mon Oct 06 09:12:28 BST 2025","","test_vaccines","",""
"
Test: Attempt to add a batch with a name that is too long and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with more than 100 characters.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be less than 100 characters.
","872","test_batch_name_too_long[MenQuadfi]","tests","Mon Oct 06 09:12:58 BST 2025","passed","Mon Oct 06 09:12:59 BST 2025","","test_vaccines","",""
"
Test: Download the school moves CSV and verify the headers.
Steps:
1. Setup: Ensure school moves exist by confirming/ignoring moves for two children.
2. Click the download button on the school moves page.
3. Enter a date range and confirm the download.
4. Read the downloaded CSV.
Verification:
- The CSV contains all expected headers for school moves.
- The CSV contains correct data for the two children involved in the school moves.
","3803","test_download_school_moves_csv","tests","Mon Oct 06 09:26:12 BST 2025","passed","Mon Oct 06 09:26:16 BST 2025","","test_school_moves","",""
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","5121","test_batch_add_change_archive[Revaxis]","tests","Mon Oct 06 09:12:12 BST 2025","passed","Mon Oct 06 09:12:17 BST 2025","","test_vaccines","",""
"
Test: Attempt to log in with invalid or empty credentials and verify error message.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Attempt to log in with the given username and password.
Verification:
- Error message is displayed indicating invalid credentials.
","202","test_login_with_invalid_credentials[password: -username: ]","tests","Mon Oct 06 09:15:17 BST 2025","passed","Mon Oct 06 09:15:17 BST 2025","","test_log_in","",""
"
Test: Verify that the vaccines page passes accessibility checks.
Steps:
1. Navigate to the vaccines page.
2. Run accessibility checks using the accessibility helper.
Verification:
- No accessibility violations are found on the vaccines page.
","5113","test_accessibility","tests","Mon Oct 06 09:13:19 BST 2025","passed","Mon Oct 06 09:13:24 BST 2025","","test_vaccines","",""
"
Test: Verify that the Accessibility Statement link is present and clickable.
Steps:
1. Navigate to the start page.
2. Click the Accessibility Statement link.
3. Verify the accessibility statement page is displayed.
Verification:
- The Accessibility Statement page is displayed.
","1385","test_accessibility_statement_link","tests","Mon Oct 06 09:21:09 BST 2025","passed","Mon Oct 06 09:21:11 BST 2025","","test_start","",""
"
Test: End-to-end test for recording a flu vaccination for a child.
Steps:
1. Setup: Log in as nurse, create session, import class list, and get batch name.
2. Go to online consent URL and fill in child and parent details.
3. Agree to flu vaccination, fill address, answer health questions, and confirm.
4. Log in as nurse, navigate to session, set session in progress,
   register child as attending.
5. Record flu vaccination for the child.
Verification:
- Final consent message is shown after online consent.
- Vaccination is recorded for the child in the session.
","28466","test_recording_flu_vaccination_e2e","tests","Mon Oct 06 09:23:26 BST 2025","passed","Mon Oct 06 09:23:55 BST 2025","","test_e2e","",""
"
Test: Submit an online consent form giving consent for one or both
   doubles vaccinations and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to one or both doubles vaccinations as specified by parameter.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. If not both vaccines, select a reason for not giving consent to the other.
6. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccines,
   and health question status.
","5798","test_consent_given_for_doubles_vaccination[yes_to_health_questions: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Mon Oct 06 09:14:33 BST 2025","passed","Mon Oct 06 09:14:39 BST 2025","","test_online_consent_doubles","",""
"
Test: Upload a valid vaccination records file and verify successful import.
Steps:
1. Navigate to vaccination records import page.
2. Upload a valid vaccination file.
Verification:
- Output indicates successful import of records.
","13479","test_vaccination_file_upload_valid_data","tests","Mon Oct 06 09:11:37 BST 2025","passed","Mon Oct 06 09:11:51 BST 2025","","test_import_vaccinations","",""
