"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2251","test_valid[role: admin]","tests","Wed Aug 27 08:12:41 BST 2025","passed","Wed Aug 27 08:12:44 BST 2025","","test_log_in","",""
"","10693","test_verify_attendance_filters","tests","Wed Aug 27 08:13:40 BST 2025","passed","Wed Aug 27 08:13:51 BST 2025","","test_sessions","",""
"","6607","test_class_list_file_upload_negative","tests","Wed Aug 27 08:07:58 BST 2025","passed","Wed Aug 27 08:08:05 BST 2025","","test_import_records","",""
"","10805","test_change_nhsno","tests","Wed Aug 27 08:17:56 BST 2025","passed","Wed Aug 27 08:18:07 BST 2025","","test_children","",""
"","753","test_child_list_empty_file","tests","Wed Aug 27 08:06:26 BST 2025","passed","Wed Aug 27 08:06:27 BST 2025","","test_import_records","",""
"","12325","test_given[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Wed Aug 27 08:08:17 BST 2025","passed","Wed Aug 27 08:08:29 BST 2025","","test_online_consent_doubles","",""
"","1227","test_vaccs_file_structure","tests","Wed Aug 27 08:12:56 BST 2025","passed","Wed Aug 27 08:12:57 BST 2025","","test_import_records","",""
"","38614","test_correct_method_shown[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.BOTH: ''>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>)]","tests","Wed Aug 27 08:16:33 BST 2025","passed","Wed Aug 27 08:17:12 BST 2025","","test_online_consent_flu","",""
"","41921","test_parent_provides_consent_twice","tests","Wed Aug 27 08:17:50 BST 2025","passed","Wed Aug 27 08:18:32 BST 2025","","test_verbal_consent","",""
"","1370","test_batch_name_too_long[Nimenrix]","tests","Wed Aug 27 08:07:44 BST 2025","passed","Wed Aug 27 08:07:46 BST 2025","","test_vaccines","",""
"","3474","test_vaccs_negative_file_upload","tests","Wed Aug 27 08:11:39 BST 2025","passed","Wed Aug 27 08:11:42 BST 2025","","test_import_records","",""
"","3195","test_verify_systmone_report_for_hpv","tests","Wed Aug 27 08:12:37 BST 2025","passed","Wed Aug 27 08:12:41 BST 2025","","test_programmes","",""
"","8329","test_gillick_competence_notes","tests","Wed Aug 27 08:16:10 BST 2025","passed","Wed Aug 27 08:16:18 BST 2025","","test_verbal_consent","",""
"","1446","test_batch_name_too_long[Fluenz]","tests","Wed Aug 27 08:07:19 BST 2025","passed","Wed Aug 27 08:07:21 BST 2025","","test_vaccines","",""
"","31319","test_recording_hpv_vaccination","tests","Wed Aug 27 08:20:58 BST 2025","passed","Wed Aug 27 08:21:29 BST 2025","","test_e2e","",""
"","3324","test_verify_csv_report_for_hpv","tests","Wed Aug 27 08:12:18 BST 2025","passed","Wed Aug 27 08:12:21 BST 2025","","test_programmes","",""
"","16619","test_lifecycle","tests","Wed Aug 27 08:12:48 BST 2025","passed","Wed Aug 27 08:13:04 BST 2025","","test_sessions","",""
"","2955","test_invalid","tests","Wed Aug 27 08:13:10 BST 2025","passed","Wed Aug 27 08:13:13 BST 2025","","test_sessions","",""
"","10786","test_given[health_question: False-change_school: False-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Wed Aug 27 08:07:15 BST 2025","passed","Wed Aug 27 08:07:26 BST 2025","","test_online_consent_doubles","",""
"","12981","test_given[health_question: True-consent_option: Injection]","tests","Wed Aug 27 08:10:53 BST 2025","passed","Wed Aug 27 08:11:06 BST 2025","","test_online_consent_flu","",""
"","15909","test_cohort_upload_positive","tests","Wed Aug 27 08:05:37 BST 2025","passed","Wed Aug 27 08:05:53 BST 2025","","test_programmes","",""
"","1355","test_batch_name_too_short[Nimenrix]","tests","Wed Aug 27 08:07:07 BST 2025","passed","Wed Aug 27 08:07:08 BST 2025","","test_vaccines","",""
"","5131","test_class_list_file_structure","tests","Wed Aug 27 08:08:22 BST 2025","passed","Wed Aug 27 08:08:27 BST 2025","","test_import_records","",""
"","12430","test_given[health_question: True-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Wed Aug 27 08:09:22 BST 2025","passed","Wed Aug 27 08:09:34 BST 2025","","test_online_consent_doubles","",""
"","10335","test_given[health_question: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Wed Aug 27 08:06:46 BST 2025","passed","Wed Aug 27 08:06:56 BST 2025","","test_online_consent_doubles","",""
"","1093","test_vaccs_community_clinic_name_case","tests","Wed Aug 27 08:19:39 BST 2025","passed","Wed Aug 27 08:19:40 BST 2025","","test_import_records","",""
"","35298","test_correct_method_shown[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>)]","tests","Wed Aug 27 08:15:28 BST 2025","passed","Wed Aug 27 08:16:03 BST 2025","","test_online_consent_flu","",""
"","3277","test_vaccs_historic_negative_file_upload","tests","Wed Aug 27 08:15:01 BST 2025","passed","Wed Aug 27 08:15:04 BST 2025","","test_import_records","",""
"","3250","test_verify_careplus_report_for_hpv","tests","Wed Aug 27 08:11:57 BST 2025","passed","Wed Aug 27 08:12:01 BST 2025","","test_programmes","",""
"","7784","test_vaccs_positive_file_upload","tests","Wed Aug 27 08:11:02 BST 2025","passed","Wed Aug 27 08:11:10 BST 2025","","test_import_records","",""
"","49947","test_rav_verify_excel_mav_854","tests","Wed Aug 27 08:11:01 BST 2025","passed","Wed Aug 27 08:11:51 BST 2025","","test_programmes","",""
"","15662","test_given[health_question: False-consent_option: ]","tests","Wed Aug 27 08:09:39 BST 2025","passed","Wed Aug 27 08:09:55 BST 2025","","test_online_consent_flu","",""
"","13927","test_recording_notes","tests","Wed Aug 27 08:15:30 BST 2025","passed","Wed Aug 27 08:15:44 BST 2025","","test_sessions","",""
"","31663","test_vaccs_hpv_space_normalization","tests","Wed Aug 27 08:17:25 BST 2025","passed","Wed Aug 27 08:17:57 BST 2025","","test_import_records","",""
"","1024","test_vaccs_systmone_disallow_flu_for_previous_years","tests","Wed Aug 27 08:19:11 BST 2025","passed","Wed Aug 27 08:19:12 BST 2025","","test_import_records","",""
"","2085","test_archive","tests","Wed Aug 27 08:17:45 BST 2025","passed","Wed Aug 27 08:17:48 BST 2025","","test_consent_responses","",""
"","2151","test_valid[role: nurse]","tests","Wed Aug 27 08:12:46 BST 2025","passed","Wed Aug 27 08:12:48 BST 2025","","test_log_in","",""
"","2765","test_valid[role: superuser]","tests","Wed Aug 27 08:12:50 BST 2025","passed","Wed Aug 27 08:12:53 BST 2025","","test_log_in","",""
"","4187","test_confirm_and_ignore","tests","Wed Aug 27 08:20:28 BST 2025","passed","Wed Aug 27 08:20:32 BST 2025","","test_school_moves","",""
"","9081","test_given[health_question: False-change_school: False]","tests","Wed Aug 27 08:13:30 BST 2025","passed","Wed Aug 27 08:13:39 BST 2025","","test_online_consent_hpv","",""
"","11198","test_given[health_question: False-change_school: True]","tests","Wed Aug 27 08:13:59 BST 2025","passed","Wed Aug 27 08:14:10 BST 2025","","test_online_consent_hpv","",""
"","1305","test_batch_name_too_long[Gardasil 9]","tests","Wed Aug 27 08:07:26 BST 2025","passed","Wed Aug 27 08:07:27 BST 2025","","test_vaccines","",""
"","38881","test_class_list_space_normalization","tests","Wed Aug 27 08:09:55 BST 2025","passed","Wed Aug 27 08:10:34 BST 2025","","test_import_records","",""
"","5389","test_batch_add_change_archive[Nimenrix]","tests","Wed Aug 27 08:06:23 BST 2025","passed","Wed Aug 27 08:06:29 BST 2025","","test_vaccines","",""
"","6491","test_vaccs_duplicate_record_upload","tests","Wed Aug 27 08:12:21 BST 2025","passed","Wed Aug 27 08:12:28 BST 2025","","test_import_records","",""
"","1443","test_batch_name_too_short[Fluenz]","tests","Wed Aug 27 08:06:43 BST 2025","passed","Wed Aug 27 08:06:44 BST 2025","","test_vaccines","",""
"","10186","test_given[health_question: True-change_school: False]","tests","Wed Aug 27 08:14:29 BST 2025","passed","Wed Aug 27 08:14:39 BST 2025","","test_online_consent_hpv","",""
"","33390","test_recording_flu_vaccination","tests","Wed Aug 27 08:23:45 BST 2025","passed","Wed Aug 27 08:24:18 BST 2025","","test_e2e","",""
"","6777","test_batch_add_change_archive[Gardasil 9]","tests","Wed Aug 27 08:05:49 BST 2025","passed","Wed Aug 27 08:05:56 BST 2025","","test_vaccines","",""
"","13910","test_merge_does_not_crash","tests","Wed Aug 27 08:20:11 BST 2025","failed","Wed Aug 27 08:20:25 BST 2025","","test_children","",""
"","16614","test_verify_consent_filters","tests","Wed Aug 27 08:14:47 BST 2025","passed","Wed Aug 27 08:15:04 BST 2025","","test_sessions","",""
"","7209","test_refused","tests","Wed Aug 27 08:08:09 BST 2025","passed","Wed Aug 27 08:08:16 BST 2025","","test_online_consent_flu","",""
"","4871","test_class_list_no_record","tests","Wed Aug 27 08:08:45 BST 2025","passed","Wed Aug 27 08:08:50 BST 2025","","test_import_records","",""
"","7945","test_rav_edit_dose_to_not_given","tests","Wed Aug 27 08:10:22 BST 2025","passed","Wed Aug 27 08:10:30 BST 2025","","test_programmes","",""
"","7641","test_vaccs_historic_positive_file_upload","tests","Wed Aug 27 08:14:25 BST 2025","passed","Wed Aug 27 08:14:33 BST 2025","","test_import_records","",""
"","1730","test_visible","tests","Wed Aug 27 08:21:40 BST 2025","passed","Wed Aug 27 08:21:42 BST 2025","","test_start","",""
"","2027","test_cohorts_file_structure","tests","Wed Aug 27 08:06:12 BST 2025","passed","Wed Aug 27 08:06:14 BST 2025","","test_programmes","",""
"","11534","test_given[health_question: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Wed Aug 27 08:07:45 BST 2025","passed","Wed Aug 27 08:07:57 BST 2025","","test_online_consent_doubles","",""
"","781","test_vaccs_no_record","tests","Wed Aug 27 08:13:26 BST 2025","passed","Wed Aug 27 08:13:27 BST 2025","","test_import_records","",""
"","21171","test_given[health_question: True-consent_option: ]","tests","Wed Aug 27 08:11:25 BST 2025","passed","Wed Aug 27 08:11:46 BST 2025","","test_online_consent_flu","",""
