"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test: Verify that the Accessibility Statement link is present and clickable.
Steps:
1. Navigate to the start page.
2. Click the Accessibility Statement link.
3. Verify the accessibility statement page is displayed.
Verification:
- The Accessibility Statement page is displayed.
","1077","test_accessibility_statement_link","tests","Wed Sep 24 14:34:04 BST 2025","passed","Wed Sep 24 14:34:05 BST 2025","","test_start","",""
"
Test: Upload an invalid child list file and verify error handling.
Steps:
1. Navigate to child record import page.
2. Upload a child list file with invalid data.
Verification:
- Output lists errors as expected for each record
","971","test_child_list_file_upload_invalid_data","tests","Wed Sep 24 14:31:20 BST 2025","passed","Wed Sep 24 14:31:21 BST 2025","","test_import_child_lists","",""
"
Test: Submit an online consent form refusing HPV vaccination and
   verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Select 'do not agree' to vaccination.
3. Choose refusal reason and provide details.
4. Submit the consent form.
Verification:
- Confirmation text indicates consent was refused for HPV vaccination.
","2552","test_consent_refused_for_hpv_vaccination","tests","Wed Sep 24 14:32:01 BST 2025","passed","Wed Sep 24 14:32:03 BST 2025","","test_online_consent_hpv","",""
"
Test: Attempt to add a batch with a name that is too long and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with more than 100 characters.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be less than 100 characters.
","718","test_batch_name_too_long[Gardasil 9]","tests","Wed Sep 24 14:27:17 BST 2025","passed","Wed Sep 24 14:27:18 BST 2025","","test_vaccines","",""
"
Test: Generate and verify CarePlus report for HPV programme.
Steps:
1. Navigate to reports page.
2. Generate CarePlus report for HPV.
Verification:
- Report is generated in CarePlus format for HPV.
","9831","test_verify_careplus_report_for_hpv","tests","Wed Sep 24 14:30:16 BST 2025","passed","Wed Sep 24 14:30:26 BST 2025","","test_programmes","",""
"
Test: Submit multiple online flu consent forms with different methods and
   verify the correct method is displayed in the session.
Steps:
1. Fill in child and parent details and submit consent with the first method.
2. Submit a second consent for the same child with the
   second method (different parent).
3. Navigate to the session and consent tab.
4. Search for the child and verify the correct consent method is shown.
Verification:
- The consent method displayed in the session matches the expected method
  from the last consent.
","16363","test_flu_consent_method_displayed_correctly[consents: (<ConsentOption.NASAL_SPRAY: 'Nasal spray'>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>)]","tests","Wed Sep 24 14:29:24 BST 2025","passed","Wed Sep 24 14:29:40 BST 2025","","test_online_consent_flu","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","1039","test_batch_name_too_short[Revaxis]","tests","Wed Sep 24 14:27:10 BST 2025","passed","Wed Sep 24 14:27:11 BST 2025","","test_vaccines","",""
"
Test: Upload an empty child list file and verify error handling.
Steps:
1. Navigate to child record import page.
2. Upload an empty file.
Verification:
- Output indicates error or no records imported.
","374","test_child_list_file_upload_empty_file","tests","Wed Sep 24 14:31:33 BST 2025","passed","Wed Sep 24 14:31:33 BST 2025","","test_import_child_lists","",""
"
Test: Attempt to add a batch with a name that is too long and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with more than 100 characters.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be less than 100 characters.
","709","test_batch_name_too_long[Revaxis]","tests","Wed Sep 24 14:27:31 BST 2025","passed","Wed Sep 24 14:27:32 BST 2025","","test_vaccines","",""
"
Test: Upload an invalid cohort (class list) file and verify error handling.
Steps:
1. Navigate to cohort import page.
2. Upload a cohort file with invalid data.
Verification:
- Import fails and error is shown.
","1855","test_cohort_upload_with_invalid_file","tests","Wed Sep 24 14:27:14 BST 2025","passed","Wed Sep 24 14:27:16 BST 2025","","test_programmes","",""
"
Test: Verify pre-screening questions are pre-filled correctly when recording
   multiple vaccinations in the same session.
Steps:
1. Setup: Schedule sessions for HPV, doubles, and flu for the same school and
   import a fixed child class list.
2. For each programme group (HPV, doubles, flu):
    a. Navigate to the session and register the child as attending.
    b. Go to the consent tab and search for the child.
    c. For each vaccine in the programme group:
        i. Record verbal consent for the child.
        ii. Record a vaccination for the child with a long notes field.
Verification:
- For each combination of vaccines, the correct pre-screening questions
  (""feeling well"", ""not pregnant"") are pre-filled as described in the docstring.
- Long notes (over 1000 characters) are accepted (MAV-955).
","53834","test_pre_screening_questions_prefilled_for_multiple_vaccinations","tests","Wed Sep 24 14:35:30 BST 2025","passed","Wed Sep 24 14:36:24 BST 2025","","test_reset","",""
"
Test: Upload a vaccination file with community clinic name case variations and
   verify correct handling.
Steps:
1. Upload a file with clinic name case variations.
Verification:
- Output indicates clinic names are handled case-insensitively and
   imported correctly.
","912","test_vaccination_file_upload_community_clinic_name_case","tests","Wed Sep 24 14:30:38 BST 2025","passed","Wed Sep 24 14:30:39 BST 2025","","test_import_vaccinations","",""
"
Test: Record invalid and refused consents and verify activity log entries.
Steps:
1. Open the session and consent tab for the child.
2. Record a 'no response' verbal consent for parent 1.
3. Record a refusal verbal consent for parent 2.
4. Invalidate the refusal from parent 2.
5. Check the session activity log for correct entries.
Verification:
- Activity log contains entries for invalidated consent, refusal, and no response.
","16222","test_invalid_consent","tests","Wed Sep 24 14:32:34 BST 2025","passed","Wed Sep 24 14:32:50 BST 2025","","test_verbal_consent","",""
"
Test: Upload a SystmOne vaccination records file with invalid data and
   verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload a SystmOne file with invalid data.
Verification:
- Output lists errors as expected for each record
","1852","test_vaccination_file_upload_systmone_invalid_data","tests","Wed Sep 24 14:29:01 BST 2025","passed","Wed Sep 24 14:29:03 BST 2025","","test_import_vaccinations","",""
