"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test: Submit an online consent form giving consent for one or both
   doubles vaccinations and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to one or both doubles vaccinations as specified by parameter.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. If not both vaccines, select a reason for not giving consent to the other.
6. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccines,
   and health question status.
","7787","test_consent_given_for_doubles_vaccination[yes_to_health_questions: False-change_school: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Tue Sep 30 08:05:45 BST 2025","passed","Tue Sep 30 08:05:53 BST 2025","","test_online_consent_doubles","",""
"
Test: Submit an online consent form giving consent for HPV vaccination and
   verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to HPV vaccination.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccine, and
  health question status.
","5570","test_consent_given_for_hpv_vaccination[yes_to_health_questions: True-change_school: True]","tests","Tue Sep 30 08:11:58 BST 2025","passed","Tue Sep 30 08:12:03 BST 2025","","test_online_consent_hpv","",""
"
Test: Archive a child via cohort upload and then unarchive by re-uploading.
Steps:
1. Import a fixed child cohort file.
2. Archive the child from the children page.
3. Re-import the same cohort file.
4. Verify the child is unarchived.
Verification:
- Child is archived after first import and unarchived after second import.
","27501","test_archive_and_unarchive_child_via_cohort_upload","tests","Tue Sep 30 08:06:19 BST 2025","passed","Tue Sep 30 08:06:47 BST 2025","","test_programmes","",""
"
Test: Attempt to add a batch with a name that is too long and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with more than 100 characters.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be less than 100 characters.
","595","test_batch_name_too_long[Fluenz]","tests","Tue Sep 30 08:06:26 BST 2025","passed","Tue Sep 30 08:06:27 BST 2025","","test_vaccines","",""
"
Test: Attempt to log in with invalid or empty credentials and verify error message.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Attempt to log in with the given username and password.
Verification:
- Error message is displayed indicating invalid credentials.
","254","test_login_with_invalid_credentials[password: -username: ]","tests","Tue Sep 30 08:08:44 BST 2025","passed","Tue Sep 30 08:08:44 BST 2025","","test_log_in","",""
"
Test: Create a new child record from an unmatched consent response with NHS number.
Steps:
1. Select a child from unmatched consent responses.
2. Click to create a new record and complete the process.
3. Verify the child is removed from unmatched responses.
4. Go to children page and verify activity log for the created child.
Verification:
- Created alert is visible.
- Consent response for the child is no longer visible in unmatched list.
- Activity log for the child shows the creation event.
","9407","test_create_child_record_from_consent_with_nhs_number","tests","Tue Sep 30 08:13:07 BST 2025","passed","Tue Sep 30 08:13:17 BST 2025","","test_consent_responses","",""
"
Test: Confirm and ignore school moves for two children and
   verify the correct alerts.
Steps:
1. Setup: Schedule sessions for two schools, upload class lists for both,
   and trigger school moves.
2. Go to the school moves page and locate rows for both children.
3. For the first child, confirm the school move and verify the confirmation alert.
4. For the second child, ignore the school move and verify the ignored alert.
Verification:
- The correct confirmation and ignored alerts are shown for each child.
- The school moves table contains the expected text for both children.
","1774","test_confirm_and_ignore","tests","Tue Sep 30 08:13:30 BST 2025","passed","Tue Sep 30 08:13:31 BST 2025","","test_school_moves","",""
"
Test: Upload a SystmOne vaccination records file with invalid data and
   verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload a SystmOne file with invalid data.
Verification:
- Output lists errors as expected for each record
","914","test_vaccination_file_upload_systmone_invalid_data","tests","Tue Sep 30 08:08:08 BST 2025","passed","Tue Sep 30 08:08:09 BST 2025","","test_import_vaccinations","",""
"
Test: Upload an invalid class list file and verify error handling.
Steps:
1. Navigate to class list import page for the correct school and year group.
2. Upload a class list file with invalid data.
Verification:
- Output lists errors as expected for each record
","2925","test_class_list_file_upload_invalid_data","tests","Tue Sep 30 08:09:32 BST 2025","passed","Tue Sep 30 08:09:35 BST 2025","","test_import_class_lists","",""
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","2230","test_batch_add_change_archive[MenQuadfi]","tests","Tue Sep 30 08:05:39 BST 2025","passed","Tue Sep 30 08:05:41 BST 2025","","test_vaccines","",""
