"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test: PSDS can be bulk added for children in a session.
Steps:
1. Import two children into a session.
2. Record online consent for the two children.
3. Add PSDs in the session to all eligible children.
Verification:
- The PSDs appear for each child.
","21045","test_bulk_adding_psd","tests","Thu Oct 16 14:05:11 BST 2025","passed","Thu Oct 16 14:05:32 BST 2025","","test_psd","",""
"
Test: Upload an invalid cohort (class list) file and verify error handling.
Steps:
1. Navigate to cohort import page.
2. Upload a cohort file with invalid data.
Verification:
- Import fails and error is shown.
","2807","test_cohort_upload_with_invalid_file","tests","Thu Oct 16 13:58:20 BST 2025","passed","Thu Oct 16 13:58:23 BST 2025","","test_programmes","",""
"
Test: Log in with valid credentials for each user role and verify dashboard links
   and team information.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Log in as the specified user role and select team if necessary.
3. Verify that all expected dashboard links are visible.
4. Verify that team information is visible in Team page.
5. Log out.
Verification:
- Log out button and all dashboard navigation links are visible after login.
- Team name and email are visible in the Team page.
","1295","test_login_with_valid_credentials[role: healthcare_assistant]","tests","Thu Oct 16 14:00:18 BST 2025","passed","Thu Oct 16 14:00:19 BST 2025","","test_log_in","",""
"
Test: Add multiple notes to a session and verify their order in the activity log.
Steps:
1. Open a session with a fixed child.
2. Add two notes in sequence.
3. Refresh and search for the child in the session.
4. Verify the most recent note appears first in the list.
Verification:
- Notes appear in reverse chronological order in the activity log.
","4594","test_session_activity_notes_order","tests","Thu Oct 16 14:01:24 BST 2025","passed","Thu Oct 16 14:01:29 BST 2025","","test_sessions","",""
"
Test: Verify attendance filters on the register tab work as expected.
Steps:
1. Open the register tab in a session.
2. Check and uncheck year group checkboxes and update results.
3. Use advanced filters to include archived records.
Verification:
- Search summary updates correctly as filters are applied and removed.
","989","test_attendance_filters_functionality","tests","Thu Oct 16 14:00:14 BST 2025","passed","Thu Oct 16 14:00:15 BST 2025","","test_sessions","",""
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","1705","test_batch_add_change_archive[Priorix]","tests","Thu Oct 16 13:58:36 BST 2025","passed","Thu Oct 16 13:58:38 BST 2025","","test_vaccines","",""
"
Test: Attempt to add a batch with a name that is too long and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with more than 100 characters.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be less than 100 characters.
","482","test_batch_name_too_long[Nimenrix]","tests","Thu Oct 16 13:59:24 BST 2025","passed","Thu Oct 16 13:59:24 BST 2025","","test_vaccines","",""
"
Test: Upload a NIVS historic flu vaccination file for previous years and verify
   it is disallowed.
Steps:
1. Upload a historic flu file for previous years.
Verification:
- Output indicates flu vaccinations for previous years are not allowed.
","773","test_vaccination_file_upload_nivs_disallow_flu_for_previous_years","tests","Thu Oct 16 14:01:52 BST 2025","passed","Thu Oct 16 14:01:53 BST 2025","","test_import_vaccinations","",""
"
Test: Verify that the Service Guidance link is present and clickable.
Steps:
1. Navigate to the start page.
2. Click the Service Guidance link.
3. Verify the service guidance page is displayed in a new tab.
Verification:
- The Service Guidance page is displayed in a new tab.
","1268","test_service_guidance_link","tests","Thu Oct 16 14:04:22 BST 2025","passed","Thu Oct 16 14:04:23 BST 2025","","test_start","",""
"
Test: Upload a cohort file with invalid structure and verify error handling.
Steps:
1. Navigate to cohort import page.
2. Upload a file with incorrect structure.
Verification:
- Import fails and structural error is shown.
","9076","test_cohort_upload_with_invalid_structure","tests","Thu Oct 16 13:58:27 BST 2025","passed","Thu Oct 16 13:58:36 BST 2025","","test_programmes","",""
