"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","3158","test_batch_add_change_archive[Cell-based Trivalent Influenza Vaccine Seqirus]","tests","Wed Oct 29 15:06:08 GMT 2025","passed","Wed Oct 29 15:06:11 GMT 2025","","test_vaccines","",""
"
Test: Attempt to add a batch with a name that is too long and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with more than 100 characters.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be less than 100 characters.
","604","test_batch_name_too_long[Nimenrix]","tests","Wed Oct 29 15:07:54 GMT 2025","passed","Wed Oct 29 15:07:55 GMT 2025","","test_vaccines","",""
"
Test: Check the tallying feature counts as expected
Steps:
1. Record consent for injection, withdraw it, invalidate it,
   provide nasal spray consent and vaccinate.
2. Verify the tally updates correctly after each action.
Verification:
- Tally counts match expected values after each step.
","30009","test_tallying","tests","Wed Oct 29 15:38:44 GMT 2025","broken","Wed Oct 29 15:39:14 GMT 2025","","test_tallying","",""
"
Test: Submit an online consent form giving consent for one or both
   doubles vaccinations and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to one or both doubles vaccinations as specified by parameter.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. If not both vaccines, select a reason for not giving consent to the other.
6. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccines,
   and health question status.
","6753","test_consent_given_for_doubles_vaccination[yes_to_health_questions: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Wed Oct 29 15:29:37 GMT 2025","passed","Wed Oct 29 15:29:43 GMT 2025","","test_online_consent_doubles","",""
"
Test: Validate Gillick competence assessment notes length and update.
Steps:
1. Open the session for the school and programme.
2. Navigate to Gillick competence assessment for the child.
3. Attempt to complete assessment with notes over 1000 characters (should error).
4. Complete assessment with valid notes.
5. Edit assessment and again try to update with notes over 1000
   characters (should error).
Verification:
- Error is shown for notes over 1000 characters.
- Assessment can be completed and updated with valid notes.
","3427","test_gillick_competence_notes","tests","Wed Oct 29 15:31:55 GMT 2025","passed","Wed Oct 29 15:31:59 GMT 2025","","test_verbal_consent","",""
"
Test: Submit an online consent form giving consent for one or both
   doubles vaccinations and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to one or both doubles vaccinations as specified by parameter.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. If not both vaccines, select a reason for not giving consent to the other.
6. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccines,
   and health question status.
","6753","test_consent_given_for_doubles_vaccination[yes_to_health_questions: True-programmes: [<Programme.TD_IPV: 'Td/IPV'>]]","tests","Wed Oct 29 15:30:50 GMT 2025","passed","Wed Oct 29 15:30:56 GMT 2025","","test_online_consent_doubles","",""
"
Test: Upload a valid child list file and verify successful import.
Steps:
1. Navigate to child record import page.
2. Upload a valid child list file.
Verification:
- Output indicates successful import of records.
","50297","test_child_list_file_upload_valid_data","tests","Wed Oct 29 15:28:56 GMT 2025","passed","Wed Oct 29 15:29:46 GMT 2025","","test_import_child_lists","",""
"
Test: Submit an online consent form refusing flu vaccination and
   verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Select 'do not agree' to vaccination.
3. Choose refusal reason and provide details.
4. Submit the consent form.
Verification:
- Confirmation text indicates consent was refused for flu vaccination.
","4676","test_consent_refused_for_flu_vaccination","tests","Wed Oct 29 15:06:08 GMT 2025","passed","Wed Oct 29 15:06:13 GMT 2025","","test_online_consent_flu","",""
"
Test: Upload a SystmOne vaccination records file with invalid data and
   verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload a SystmOne file with invalid data.
Verification:
- Output lists errors as expected for each record
","43156","test_vaccination_file_upload_systmone_invalid_data","tests","Wed Oct 29 15:26:23 GMT 2025","passed","Wed Oct 29 15:27:07 GMT 2025","","test_import_vaccinations","",""
"
Test: Attempt to add a batch with a name that is too long and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with more than 100 characters.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be less than 100 characters.
","617","test_batch_name_too_long[MenQuadfi]","tests","Wed Oct 29 15:07:46 GMT 2025","passed","Wed Oct 29 15:07:47 GMT 2025","","test_vaccines","",""
"
Test: Attempt to add a batch with a name that is too long and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with more than 100 characters.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be less than 100 characters.
","610","test_batch_name_too_long[MMR VaxPro]","tests","Wed Oct 29 15:07:58 GMT 2025","passed","Wed Oct 29 15:07:59 GMT 2025","","test_vaccines","",""
"
Test: Upload a class list file with extra whitespace and verify normalization.
Steps:
1. Upload a file with whitespace issues.
2. Navigate to children page.
3. Verify the list is normalized and imported correctly.
Verification:
- Imported list matches expected normalized data.
","85054","test_class_list_file_upload_whitespace_normalization","tests","Wed Oct 29 15:27:15 GMT 2025","passed","Wed Oct 29 15:28:40 GMT 2025","","test_import_class_lists","",""
"
Test: Record verbal refusal of consent and verify activity log entry.
Steps:
1. Schedule session and import class list.
2. Record verbal refusal for the child.
3. Select 'consent refused' in session and check activity log.
Verification:
- Activity log contains entry for consent refusal by the parent.
","13112","test_consent_refused_and_activity_log","tests","Wed Oct 29 15:29:54 GMT 2025","passed","Wed Oct 29 15:30:07 GMT 2025","","test_sessions","",""
"","30912","test_report_view","tests","Wed Oct 29 15:35:17 GMT 2025","broken","Wed Oct 29 15:35:48 GMT 2025","","test_reporting","",""
"
Test: Verify that the Accessibility Statement link is present and clickable.
Steps:
1. Navigate to the start page.
2. Click the Accessibility Statement link.
3. Verify the accessibility statement page is displayed.
Verification:
- The Accessibility Statement page is displayed.
","1955","test_accessibility_statement_link","tests","Wed Oct 29 15:34:59 GMT 2025","passed","Wed Oct 29 15:35:01 GMT 2025","","test_start","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","598","test_batch_name_too_short[MMR VaxPro]","tests","Wed Oct 29 15:07:22 GMT 2025","passed","Wed Oct 29 15:07:23 GMT 2025","","test_vaccines","",""
"
Test: Record two consents from the same parent (positive then refusal)
   and verify activity log.
Steps:
1. Open the session and consent tab for the child.
2. Record a written positive consent for parent 1.
3. Record a triage outcome as safe to vaccinate.
4. Record a verbal refusal for the same parent.
5. Check the consent refused text and session activity log.
Verification:
- Consent refused text is shown for the parent.
- Activity log contains entries for refusal, triage, and initial consent.
","22003","test_parent_provides_consent_twice","tests","Wed Oct 29 15:32:44 GMT 2025","passed","Wed Oct 29 15:33:06 GMT 2025","","test_verbal_consent","",""
"
Test: Generate and verify SystmOne report for MMR programme.
Steps:
1. Navigate to reports page.
2. Generate SystmOne report for MMR.
Verification:
- Report is generated in SystmOne format for MMR.
","2159","test_verify_systmone_report_for_mmr","tests","Wed Oct 29 15:08:55 GMT 2025","passed","Wed Oct 29 15:08:57 GMT 2025","","test_programmes","",""
"
Test: Generate and verify CSV report for HPV programme.
Steps:
1. Navigate to reports page.
2. Generate CSV report for HPV.
Verification:
- Report is generated in CSV format for HPV.
","2196","test_verify_csv_report_for_hpv","tests","Wed Oct 29 15:08:20 GMT 2025","passed","Wed Oct 29 15:08:22 GMT 2025","","test_programmes","",""
"
Test: PSDS can be bulk added for children in a session.
Steps:
1. Import two children into a session.
2. Record online consent for the two children.
3. Add PSDs in the session to all eligible children.
Verification:
- The PSDs appear for each child.
","40582","test_bulk_adding_psd","tests","Wed Oct 29 15:36:12 GMT 2025","passed","Wed Oct 29 15:36:52 GMT 2025","","test_psd","",""
"","5150","test_log_out_via_reporting_component","tests","Wed Oct 29 15:35:12 GMT 2025","passed","Wed Oct 29 15:35:17 GMT 2025","","test_reporting_downloads","",""
"
Test: Submit an online consent form giving consent for flu vaccination
   (nasal spray, injection, or both) and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Agree to flu vaccination, selecting the consent option
   (nasal spray, injection, or both).
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, consent option,
  and health question status.
","10142","test_consent_given_for_flu_vaccination[yes_to_health_questions: True-consent_option: ]","tests","Wed Oct 29 15:07:38 GMT 2025","passed","Wed Oct 29 15:07:48 GMT 2025","","test_online_consent_flu","",""
"
Test: Attempt to log in with invalid or empty credentials and verify error message.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Attempt to log in with the given username and password.
Verification:
- Error message is displayed indicating invalid credentials.
","284","test_login_with_invalid_credentials[password: -username: ]","tests","Wed Oct 29 15:09:04 GMT 2025","passed","Wed Oct 29 15:09:04 GMT 2025","","test_log_in","",""
"
Test: Submit an online consent form refusing doubles vaccination and
   verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Select 'do not agree' to vaccination.
3. Choose refusal reason and provide details.
4. Submit the consent form.
Verification:
- Confirmation text indicates consent was refused for MenACWY and Td/IPV.
","4043","test_consent_refused_for_doubles_vaccination","tests","Wed Oct 29 15:29:24 GMT 2025","passed","Wed Oct 29 15:29:28 GMT 2025","","test_online_consent_doubles","",""
"
Test: Log in with valid credentials for each user role and verify dashboard links
   and team information.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Log in as the specified user role and select team if necessary.
3. Verify that all expected dashboard links are visible.
4. Verify that team information is visible in Team page.
5. Log out.
Verification:
- Log out button and all dashboard navigation links are visible after login.
- Team name and email are visible in the Team page.
","1755","test_login_with_valid_credentials[role: prescriber]","tests","Wed Oct 29 15:09:31 GMT 2025","passed","Wed Oct 29 15:09:33 GMT 2025","","test_log_in","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","680","test_batch_name_too_short[MenQuadfi]","tests","Wed Oct 29 15:07:10 GMT 2025","passed","Wed Oct 29 15:07:10 GMT 2025","","test_vaccines","",""
"
Test: Submit an online consent form giving consent for flu vaccination
   (nasal spray, injection, or both) and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Agree to flu vaccination, selecting the consent option
   (nasal spray, injection, or both).
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, consent option,
  and health question status.
","5776","test_consent_given_for_flu_vaccination[yes_to_health_questions: False-consent_option: Injection]","tests","Wed Oct 29 15:06:37 GMT 2025","passed","Wed Oct 29 15:06:43 GMT 2025","","test_online_consent_flu","",""
"
Test: Submit an online consent form giving consent for one or both
   doubles vaccinations and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to one or both doubles vaccinations as specified by parameter.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. If not both vaccines, select a reason for not giving consent to the other.
6. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccines,
   and health question status.
","6427","test_consent_given_for_doubles_vaccination[yes_to_health_questions: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Wed Oct 29 15:29:51 GMT 2025","passed","Wed Oct 29 15:29:57 GMT 2025","","test_online_consent_doubles","",""
"","35399","test_report_view","tests","Wed Oct 29 15:38:02 GMT 2025","failed","Wed Oct 29 15:38:37 GMT 2025","","test_reporting_values","",""
"
Test: Click the 'Send reminders' link and PDF download links in sessions and
verify there are no errors.
Steps:
1. Open a session with a fixed child.
2. Click 'Send reminders' link and verify no errors.
3. Attempt to download consent PDFs and verify no errors.
Verification:
- No errors occur when sending reminders or downloading PDFs.
","915","test_session_verify_consent_reminders_and_pdf_downloads","tests","Wed Oct 29 15:31:10 GMT 2025","passed","Wed Oct 29 15:31:11 GMT 2025","","test_sessions","",""
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","2413","test_batch_add_change_archive[Nimenrix]","tests","Wed Oct 29 15:06:34 GMT 2025","passed","Wed Oct 29 15:06:36 GMT 2025","","test_vaccines","",""
"
Test: Create, edit, and delete an injected flu vaccination record and verify changes
in the IMMS API and Mavis status.
Steps:
1. Setup: Schedule flu session, import class list, add vaccine batch, and
   register child with verbal consent.
2. Create: Record flu vaccination for the child (LEFT_ARM_UPPER).
3. Verify: Check the vaccination record exists in the IMMS API.
   Check Mavis shows ""Synced"".
4. Edit: Change the delivery site to RIGHT_ARM_LOWER and save.
5. Verify: Check the updated vaccination record in the IMMS API.
   Check Mavis still shows ""Synced"".
6. Edit: Change the outcome to ""They refused it"" and save.
7. Verify: Check the vaccination record is removed from the IMMS API.
   Check Mavis shows ""Not synced"".
","25156","test_create_edit_delete_nasal_flu_vaccination_and_verify_imms_api","tests","Wed Oct 29 15:35:04 GMT 2025","passed","Wed Oct 29 15:35:29 GMT 2025","","test_imms_api_flu","",""
"
Test: Create, edit, and delete an HPV vaccination record and verify changes in
   the IMMS API and Mavis status.
Steps:
1. Setup: Schedule HPV session, import class list, add vaccine batch, and
   register child with verbal consent.
2. Create: Record HPV vaccination for the child (LEFT_ARM_UPPER).
3. Verify: Check the vaccination record exists in the IMMS API.
   Check Mavis shows ""Synced"".
4. Edit: Change the delivery site to RIGHT_ARM_LOWER and save.
5. Verify: Check the updated vaccination record in the IMMS API.
   Check Mavis still shows ""Synced"".
6. Edit: Change the outcome to ""They refused it"" and save.
7. Verify: Check the vaccination record is removed from the IMMS API.
   Check Mavis shows ""Not synced"".
","14494","test_create_edit_delete_hpv_vaccination_and_verify_imms_api","tests","Wed Oct 29 15:35:51 GMT 2025","passed","Wed Oct 29 15:36:05 GMT 2025","","test_imms_api_hpv","",""
"
Test: Upload a historic vaccination records file with invalid data and
   verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload a historic file with invalid data.
Verification:
- Output lists errors as expected for each record
","0","test_vaccination_file_upload_historic_invalid_data","tests","Wed Oct 29 15:11:39 GMT 2025","failed","Wed Oct 29 15:11:39 GMT 2025","","test_import_vaccinations","",""
"
Test: Generate and verify CarePlus report for MenACWY and Td/IPV programmes.
Steps:
1. Navigate to reports page.
2. Generate CarePlus report for MenACWY.
3. Generate CarePlus report for Td/IPV.
Verification:
- Reports are generated in CarePlus format for both MenACWY and Td/IPV.
","4837","test_verify_careplus_report_for_doubles","tests","Wed Oct 29 15:08:11 GMT 2025","passed","Wed Oct 29 15:08:16 GMT 2025","","test_programmes","",""
"
Test: Submit an online consent form refusing HPV vaccination and
   verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Select 'do not agree' to vaccination.
3. Choose refusal reason and provide details.
4. Submit the consent form.
Verification:
- Confirmation text indicates consent was refused for HPV vaccination.
","3973","test_consent_refused_for_hpv_vaccination","tests","Wed Oct 29 15:33:14 GMT 2025","passed","Wed Oct 29 15:33:18 GMT 2025","","test_online_consent_hpv","",""
"
Test: Submit an online consent form giving consent for one or both
   doubles vaccinations and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to one or both doubles vaccinations as specified by parameter.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. If not both vaccines, select a reason for not giving consent to the other.
6. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccines,
   and health question status.
","6865","test_consent_given_for_doubles_vaccination[yes_to_health_questions: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Wed Oct 29 15:30:20 GMT 2025","passed","Wed Oct 29 15:30:27 GMT 2025","","test_online_consent_doubles","",""
"
Test: Upload an invalid class list file and verify error handling.
Steps:
1. Navigate to class list import page for the correct school and year group.
2. Upload a class list file with invalid data.
Verification:
- Output lists errors as expected for each record
","100984","test_class_list_file_upload_invalid_data","tests","Wed Oct 29 15:19:02 GMT 2025","failed","Wed Oct 29 15:20:43 GMT 2025","","test_import_class_lists","",""
"
Test: Upload a vaccination file with no URN/care setting and verify location is
   set to school (MAV-855).
Steps:
1. Upload a vaccination file missing care setting.
2. Navigate to children page and search for the child.
3. Open vaccination details for the child.
Verification:
- Vaccination location is displayed as the school.
","0","test_vaccination_file_upload_no_urn_location_mav_855","tests","Wed Oct 29 15:17:00 GMT 2025","failed","Wed Oct 29 15:17:00 GMT 2025","","test_import_vaccinations","",""
"
Test: Attempt to create an invalid session and verify error handling.
Steps:
1. Navigate to sessions page.
2. Attempt to create a session with invalid data for the school and programme.
3. Attempt to create sessions in previous and next academic years.
Verification:
- Error is shown or invalid session is not created.
","6343","test_create_invalid_session","tests","Wed Oct 29 15:08:31 GMT 2025","passed","Wed Oct 29 15:08:37 GMT 2025","","test_sessions","",""
"
Test: Upload a class list file with only headers and verify no
   records are imported.
Steps:
1. Navigate to class list import page for the correct school and year group.
2. Upload a header-only file.
Verification:
- Output indicates no records imported.
","4979","test_class_list_file_upload_header_only","tests","Wed Oct 29 15:26:13 GMT 2025","passed","Wed Oct 29 15:26:18 GMT 2025","","test_import_class_lists","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","600","test_batch_name_too_short[Fluenz]","tests","Wed Oct 29 15:06:57 GMT 2025","passed","Wed Oct 29 15:06:58 GMT 2025","","test_vaccines","",""
"
Test: Match an unmatched consent response to a child and verify activity log.
Steps:
1. Import a fixed child class list for the current year.
2. Navigate to unmatched consent responses and select a child.
3. Click match and complete the matching process.
4. Verify the child is removed from unmatched responses.
5. Go to children page and verify activity log for the matched child.
Verification:
- Matched alert is visible.
- Consent response for the child is no longer visible in unmatched list.
- Activity log for the child shows the match event.
","35885","test_match_unmatched_consent_response_and_verify_activity_log","tests","Wed Oct 29 15:31:50 GMT 2025","passed","Wed Oct 29 15:32:26 GMT 2025","","test_consent_responses","",""
"
Test: Upload a cohort file with only headers and verify no records are imported.
Steps:
1. Navigate to cohort import page.
2. Upload a header-only file.
Verification:
- No records are imported and appropriate message is shown.
","1386","test_cohort_upload_with_header_only_file","tests","Wed Oct 29 15:06:33 GMT 2025","passed","Wed Oct 29 15:06:35 GMT 2025","","test_programmes","",""
"
Test: Attempt to add a batch with a name that is too long and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with more than 100 characters.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be less than 100 characters.
","564","test_batch_name_too_long[Priorix]","tests","Wed Oct 29 15:08:02 GMT 2025","passed","Wed Oct 29 15:08:03 GMT 2025","","test_vaccines","",""
"
Test: Attempt to add a batch with a name that is too long and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with more than 100 characters.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be less than 100 characters.
","704","test_batch_name_too_long[Fluenz]","tests","Wed Oct 29 15:07:34 GMT 2025","passed","Wed Oct 29 15:07:35 GMT 2025","","test_vaccines","",""
