"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test: Upload a SystmOne vaccination records file with invalid data and
   verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload a SystmOne file with invalid data.
Verification:
- Output lists errors as expected for each record
","3892","test_vaccination_file_upload_systmone_invalid_data","tests","Thu Sep 18 09:54:44 BST 2025","passed","Thu Sep 18 09:54:48 BST 2025","","test_import_vaccinations","",""
"
Test: Upload a child list file with invalid structure and verify error handling.
Steps:
1. Navigate to child record import page.
2. Upload a file with incorrect structure.
Verification:
- Output indicates structural errors.
","720","test_child_list_file_upload_invalid_structure","tests","Thu Sep 18 09:58:08 BST 2025","passed","Thu Sep 18 09:58:08 BST 2025","","test_import_child_lists","",""
"
Test: Submit multiple online flu consent forms with different methods and
   verify the correct method is displayed in the session.
Steps:
1. Fill in child and parent details and submit consent with the first method.
2. Submit a second consent for the same child with the
   second method (different parent).
3. Navigate to the session and consent tab.
4. Search for the child and verify the correct consent method is shown.
Verification:
- The consent method displayed in the session matches the expected method
  from the last consent.
","20499","test_flu_consent_method_displayed_correctly[consents: (<ConsentOption.NASAL_SPRAY: 'Nasal spray'>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>)]","tests","Thu Sep 18 09:54:26 BST 2025","passed","Thu Sep 18 09:54:47 BST 2025","","test_online_consent_flu","",""
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","2794","test_batch_add_change_archive[Gardasil 9]","tests","Thu Sep 18 09:50:27 BST 2025","passed","Thu Sep 18 09:50:30 BST 2025","","test_vaccines","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","514","test_batch_name_too_short[Menveo]","tests","Thu Sep 18 09:51:13 BST 2025","passed","Thu Sep 18 09:51:14 BST 2025","","test_vaccines","",""
"
Test: Attempt to add a batch with a name that is too long and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with more than 100 characters.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be less than 100 characters.
","552","test_batch_name_too_long[Fluenz]","tests","Thu Sep 18 09:51:25 BST 2025","passed","Thu Sep 18 09:51:26 BST 2025","","test_vaccines","",""
"
Test: Submit an online consent form refusing HPV vaccination and
   verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Select 'do not agree' to vaccination.
3. Choose refusal reason and provide details.
4. Submit the consent form.
Verification:
- Confirmation text indicates consent was refused for HPV vaccination.
","3984","test_consent_refused_for_hpv_vaccination","tests","Thu Sep 18 09:58:57 BST 2025","passed","Thu Sep 18 09:59:01 BST 2025","","test_online_consent_hpv","",""
"
Test: Upload a vaccination records file with invalid structure and
   verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload a file with incorrect structure.
Verification:
- Output indicates structural errors.
","1395","test_vaccination_file_upload_invalid_structure","tests","Thu Sep 18 09:52:02 BST 2025","passed","Thu Sep 18 09:52:04 BST 2025","","test_import_vaccinations","",""
"
Test: Archive a child via cohort upload and then unarchive by re-uploading.
Steps:
1. Import a fixed child cohort file.
2. Archive the child from the children page.
3. Re-import the same cohort file.
4. Verify the child is unarchived.
Verification:
- Child is archived after first import and unarchived after second import.
","53032","test_archive_and_unarchive_child_via_cohort_upload","tests","Thu Sep 18 09:52:49 BST 2025","passed","Thu Sep 18 09:53:42 BST 2025","","test_programmes","",""
"
Test: Upload a child list file with only headers and verify no records are imported.
Steps:
1. Navigate to child record import page.
2. Upload a header-only file.
Verification:
- Output indicates no records imported.
","332","test_child_list_file_upload_header_only","tests","Thu Sep 18 09:58:13 BST 2025","passed","Thu Sep 18 09:58:14 BST 2025","","test_import_child_lists","",""
