"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","430","test_batch_name_too_short[Nimenrix]","tests","Fri Nov 07 14:06:26 GMT 2025","passed","Fri Nov 07 14:06:27 GMT 2025","","test_vaccines","",""
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","1815","test_batch_add_change_archive[Fluenz]","tests","Fri Nov 07 14:05:29 GMT 2025","passed","Fri Nov 07 14:05:31 GMT 2025","","test_vaccines","",""
"
Test: Generate and verify CSV report for HPV programme.
Steps:
1. Navigate to reports page.
2. Generate CSV report for HPV.
Verification:
- Report is generated in CSV format for HPV.
","1503","test_verify_csv_report_for_hpv","tests","Fri Nov 07 14:07:40 GMT 2025","passed","Fri Nov 07 14:07:42 GMT 2025","","test_programmes","",""
"
Test: Attempt to add a batch with a name that is too long and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with more than 100 characters.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be less than 100 characters.
","540","test_batch_name_too_long[MMR VaxPro]","tests","Fri Nov 07 14:06:59 GMT 2025","passed","Fri Nov 07 14:07:00 GMT 2025","","test_vaccines","",""
"
Test: Record verbal refusal of consent and verify activity log entry.
Steps:
1. Schedule session and import class list.
2. Record verbal refusal for the child.
3. Select 'consent refused' in session and check activity log.
Verification:
- Activity log contains entry for consent refusal by the parent.
","6836","test_consent_refused_and_activity_log","tests","Fri Nov 07 14:07:39 GMT 2025","passed","Fri Nov 07 14:07:46 GMT 2025","","test_sessions","",""
"
Test: Upload a class list file with the wrong year group and verify error handling.
Steps:
1. Navigate to class list import page for the correct school and year group.
2. Upload a file with an incorrect year group.
Verification:
- Output indicates year group mismatch or error.
","8362","test_class_list_file_upload_wrong_year_group","tests","Fri Nov 07 14:09:41 GMT 2025","passed","Fri Nov 07 14:09:49 GMT 2025","","test_import_class_lists","",""
"
Test: Upload duplicate vaccination records and verify duplicate handling.
Steps:
1. Upload a vaccination file with duplicate records.
2. Upload a second file with more duplicates.
Verification:
- Output indicates duplicates are detected and handled.
Scenarios covered:
1. Duplicate records within the same file, and
2. Duplicate records across 2 different files
","11555","test_vaccination_file_upload_duplicate_records","tests","Fri Nov 07 14:08:33 GMT 2025","passed","Fri Nov 07 14:08:44 GMT 2025","","test_import_offline_vaccinations","",""
"
Test: Submit an online consent form giving consent for HPV vaccination and
   verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to HPV vaccination.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccine, and
  health question status.
","5516","test_consent_given_for_hpv_vaccination[yes_to_health_questions: True]","tests","Fri Nov 07 14:16:59 GMT 2025","passed","Fri Nov 07 14:17:04 GMT 2025","","test_online_consent_hpv","",""
"
Test: Attempt to log in with invalid or empty credentials and verify error message.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Attempt to log in with the given username and password.
Verification:
- Error message is displayed indicating invalid credentials.
","490","test_login_with_invalid_credentials[password: invalid-username: invalid]","tests","Fri Nov 07 14:07:24 GMT 2025","passed","Fri Nov 07 14:07:24 GMT 2025","","test_log_in","",""
"
Test: Upload a SystmOne historic flu vaccination file for previous years and verify
   it is disallowed.
Steps:
1. Upload a SystmOne historic flu file for previous years.
Verification:
- Output indicates flu vaccinations for previous years are not allowed.
","1653","test_vaccination_file_upload_systmone_disallow_flu_for_previous_years","tests","Fri Nov 07 14:14:32 GMT 2025","passed","Fri Nov 07 14:14:33 GMT 2025","","test_import_systmone_nivs","",""
