"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test: Verify children page headers and filtering by child name.
Steps:
1. Setup: Import a fixed child class list and navigate to the children page.
2. Search for a child using all filters by name.
3. Verify the table headers are correct.
Verification:
- Assert that exactly one child is found in the results.
","6006","test_children_page_headers_and_filtering","tests","Wed Oct 08 13:31:30 BST 2025","passed","Wed Oct 08 13:31:36 BST 2025","","test_children","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","469","test_batch_name_too_short[Fluenz]","tests","Wed Oct 08 13:38:14 BST 2025","passed","Wed Oct 08 13:38:15 BST 2025","","test_vaccines","",""
"
Test: Submit an online consent form giving consent for flu vaccination
   (nasal spray, injection, or both) and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Agree to flu vaccination, selecting the consent option
   (nasal spray, injection, or both).
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, consent option,
  and health question status.
","7302","test_consent_given_for_flu_vaccination[yes_to_health_questions: True-consent_option: ]","tests","Wed Oct 08 13:35:01 BST 2025","passed","Wed Oct 08 13:35:08 BST 2025","","test_online_consent_flu","",""
"
Test: Generate and verify CarePlus report for MenACWY and Td/IPV programmes.
Steps:
1. Navigate to reports page.
2. Generate CarePlus report for MenACWY.
3. Generate CarePlus report for Td/IPV.
Verification:
- Reports are generated in CarePlus format for both MenACWY and Td/IPV.
","3454","test_verify_careplus_report_for_doubles","tests","Wed Oct 08 13:36:11 BST 2025","passed","Wed Oct 08 13:36:14 BST 2025","","test_programmes","",""
"
Test: Generate and verify CSV report for HPV programme.
Steps:
1. Navigate to reports page.
2. Generate CSV report for HPV.
Verification:
- Report is generated in CSV format for HPV.
","1587","test_verify_csv_report_for_hpv","tests","Wed Oct 08 13:36:17 BST 2025","passed","Wed Oct 08 13:36:18 BST 2025","","test_programmes","",""
"
Test: Attempt to add a batch with a name that is too long and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with more than 100 characters.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be less than 100 characters.
","427","test_batch_name_too_long[Cell-based Trivalent Influenza Vaccine Seqirus]","tests","Wed Oct 08 13:38:08 BST 2025","passed","Wed Oct 08 13:38:08 BST 2025","","test_vaccines","",""
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","1832","test_batch_add_change_archive[Nimenrix]","tests","Wed Oct 08 13:37:50 BST 2025","passed","Wed Oct 08 13:37:52 BST 2025","","test_vaccines","",""
"
Test: Upload a vaccination records file with extra whitespace and
   verify normalization.
Steps:
1. Upload a file with whitespace issues.
2. Navigate to children page.
3. Verify the list is normalized and imported correctly.
Verification:
- Imported list matches expected normalized data.
","31783","test_vaccination_file_upload_whitespace_normalization","tests","Wed Oct 08 13:34:28 BST 2025","passed","Wed Oct 08 13:35:00 BST 2025","","test_import_vaccinations","",""
"
Test: Log in with valid credentials for each user role and verify dashboard links
   and team information.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Log in as the specified user role and select team if necessary.
3. Verify that all expected dashboard links are visible.
4. Verify that team information is visible in Team page.
5. Log out.
Verification:
- Log out button and all dashboard navigation links are visible after login.
- Team name and email are visible in the Team page.
","1359","test_login_with_valid_credentials[role: healthcare_assistant]","tests","Wed Oct 08 13:34:04 BST 2025","passed","Wed Oct 08 13:34:05 BST 2025","","test_log_in","",""
"
Test: Upload a SystmOne vaccination records file with valid data and verify import.
Steps:
1. Navigate to vaccination records import page.
2. Upload a SystmOne file with valid data.
Verification:
- Output indicates successful import of SystmOne records.
","1371","test_vaccination_file_upload_systmone_valid_data","tests","Wed Oct 08 13:34:02 BST 2025","passed","Wed Oct 08 13:34:03 BST 2025","","test_import_vaccinations","",""
"
Test: Upload a vaccination records file with only headers and verify no records are
   imported.
Steps:
1. Navigate to vaccination records import page.
2. Upload a header-only file.
Verification:
- Output indicates no records imported.
","269","test_vaccination_file_upload_header_only","tests","Wed Oct 08 13:33:36 BST 2025","passed","Wed Oct 08 13:33:36 BST 2025","","test_import_vaccinations","",""
"
Test: Download the school moves CSV and verify the headers.
Steps:
1. Setup: Ensure school moves exist by confirming/ignoring moves for two children.
2. Click the download button on the school moves page.
3. Enter a date range and confirm the download.
4. Read the downloaded CSV.
Verification:
- The CSV contains all expected headers for school moves.
- The CSV contains correct data for the two children involved in the school moves.
","1582","test_download_school_moves_csv","tests","Wed Oct 08 13:38:09 BST 2025","passed","Wed Oct 08 13:38:11 BST 2025","","test_school_moves","",""
"
Test: Upload an empty child list file and verify error handling.
Steps:
1. Navigate to child record import page.
2. Upload an empty file.
Verification:
- Output indicates error or no records imported.
","250","test_child_list_file_upload_empty_file","tests","Wed Oct 08 13:31:29 BST 2025","passed","Wed Oct 08 13:31:29 BST 2025","","test_import_child_lists","",""
"
Test: Confirm and ignore school moves for two children and
   verify the correct alerts.
Steps:
1. Setup: Schedule sessions for two schools, upload class lists for both,
   and trigger school moves.
2. Go to the school moves page and locate rows for both children.
3. For the first child, confirm the school move and verify the confirmation alert.
4. For the second child, ignore the school move and verify the ignored alert.
Verification:
- The correct confirmation and ignored alerts are shown for each child.
- The school moves table contains the expected text for both children.
","1841","test_confirm_and_ignore","tests","Wed Oct 08 13:37:48 BST 2025","passed","Wed Oct 08 13:37:50 BST 2025","","test_school_moves","",""
"
Test: Submit multiple online flu consent forms with different methods and
   verify the correct method is displayed in the session.
Steps:
1. Fill in child and parent details and submit consent with the first method.
2. Submit a second consent for the same child with the
   second method (different parent).
3. Navigate to the session and consent tab.
4. Search for the child and verify the correct consent method is shown.
Verification:
- The consent method displayed in the session matches the expected method
  from the last consent.
","19186","test_flu_consent_method_displayed_correctly[consents: (<ConsentOption.BOTH: ''>, <ConsentOption.BOTH: ''>, <ConsentOption.NASAL_SPRAY: 'Nasal spray'>)]","tests","Wed Oct 08 13:35:11 BST 2025","passed","Wed Oct 08 13:35:31 BST 2025","","test_online_consent_flu","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","443","test_batch_name_too_short[Gardasil 9]","tests","Wed Oct 08 13:37:59 BST 2025","passed","Wed Oct 08 13:38:00 BST 2025","","test_vaccines","",""
"
Test: Attempt to add a batch with a name that is too long and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with more than 100 characters.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be less than 100 characters.
","466","test_batch_name_too_long[Menveo]","tests","Wed Oct 08 13:38:12 BST 2025","passed","Wed Oct 08 13:38:12 BST 2025","","test_vaccines","",""
"
Test: Attempt to log in with invalid or empty credentials and verify error message.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Attempt to log in with the given username and password.
Verification:
- Error message is displayed indicating invalid credentials.
","474","test_login_with_invalid_credentials[password: invalid-username: invalid]","tests","Wed Oct 08 13:33:54 BST 2025","passed","Wed Oct 08 13:33:55 BST 2025","","test_log_in","",""
"
Test: A PSD can be created for a child and the vaccination can be
   administered by a healthcare assistant.
Steps:
1. Import child records and set up a session with PSD enabled.
2. Record verbal consent with PSD option for the child.
3. Verify the PSD is created.
4. Log in as a healthcare assistant and administer the vaccination.
Verification:
- The PSD is correctly created and the vaccination is recorded without errors.
","15194","test_delivering_vaccination_after_psd","tests","Wed Oct 08 13:36:46 BST 2025","passed","Wed Oct 08 13:37:01 BST 2025","","test_psd","",""
"
Test: Submit an online consent form giving consent for one or both
   doubles vaccinations and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to one or both doubles vaccinations as specified by parameter.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. If not both vaccines, select a reason for not giving consent to the other.
6. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccines,
   and health question status.
","4480","test_consent_given_for_doubles_vaccination[yes_to_health_questions: False-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Wed Oct 08 13:34:36 BST 2025","passed","Wed Oct 08 13:34:40 BST 2025","","test_online_consent_doubles","",""
"
Test: Submit an online consent form refusing doubles vaccination and
   verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Select 'do not agree' to vaccination.
3. Choose refusal reason and provide details.
4. Submit the consent form.
Verification:
- Confirmation text indicates consent was refused for MenACWY and Td/IPV.
","2575","test_consent_refused_for_doubles_vaccination","tests","Wed Oct 08 13:34:15 BST 2025","passed","Wed Oct 08 13:34:18 BST 2025","","test_online_consent_doubles","",""
"
Test: Archive a child via cohort upload and then unarchive by re-uploading.
Steps:
1. Import a fixed child cohort file.
2. Archive the child from the children page.
3. Re-import the same cohort file.
4. Verify the child is unarchived.
Verification:
- Child is archived after first import and unarchived after second import.
","28312","test_archive_and_unarchive_child_via_cohort_upload","tests","Wed Oct 08 13:35:59 BST 2025","passed","Wed Oct 08 13:36:28 BST 2025","","test_programmes","",""
"
Test: Add multiple notes to a session and verify their order in the activity log.
Steps:
1. Open a session with a fixed child.
2. Add two notes in sequence.
3. Refresh and search for the child in the session.
4. Verify the most recent note appears first in the list.
Verification:
- Notes appear in reverse chronological order in the activity log.
","4593","test_session_activity_notes_order","tests","Wed Oct 08 13:37:26 BST 2025","passed","Wed Oct 08 13:37:31 BST 2025","","test_sessions","",""
"
Test: Submit multiple online flu consent forms with different methods and
   verify the correct method is displayed in the session.
Steps:
1. Fill in child and parent details and submit consent with the first method.
2. Submit a second consent for the same child with the
   second method (different parent).
3. Navigate to the session and consent tab.
4. Search for the child and verify the correct consent method is shown.
Verification:
- The consent method displayed in the session matches the expected method
  from the last consent.
","13423","test_flu_consent_method_displayed_correctly[consents: (<ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>)]","tests","Wed Oct 08 13:35:48 BST 2025","passed","Wed Oct 08 13:36:02 BST 2025","","test_online_consent_flu","",""
"
Test: Upload an invalid cohort (class list) file and verify error handling.
Steps:
1. Navigate to cohort import page.
2. Upload a cohort file with invalid data.
Verification:
- Import fails and error is shown.
","759","test_cohort_upload_with_invalid_file","tests","Wed Oct 08 13:35:44 BST 2025","passed","Wed Oct 08 13:35:45 BST 2025","","test_programmes","",""
"
Test: Upload a NIVS historic flu vaccination file for previous years and verify
   it is disallowed.
Steps:
1. Upload a historic flu file for previous years.
Verification:
- Output indicates flu vaccinations for previous years are not allowed.
","712","test_vaccination_file_upload_nivs_disallow_flu_for_previous_years","tests","Wed Oct 08 13:35:16 BST 2025","passed","Wed Oct 08 13:35:17 BST 2025","","test_import_vaccinations","",""
"
Test: Archive an unmatched consent response and verify it is removed from the list.
Steps:
1. Select a child from the unmatched consent responses.
2. Click the archive button and provide notes.
Verification:
- Archived alert is visible.
- The consent response for the child is no longer visible in the unmatched list.
","783","test_archive_unmatched_consent_response_removes_from_list","tests","Wed Oct 08 13:32:52 BST 2025","passed","Wed Oct 08 13:32:53 BST 2025","","test_consent_responses","",""
"
Test: Upload a SystmOne vaccination records file with invalid data and
   verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload a SystmOne file with invalid data.
Verification:
- Output lists errors as expected for each record
","1501","test_vaccination_file_upload_systmone_invalid_data","tests","Wed Oct 08 13:34:08 BST 2025","passed","Wed Oct 08 13:34:10 BST 2025","","test_import_vaccinations","",""
"
Test: Upload a historic vaccination records file with valid data and verify import.
Steps:
1. Navigate to vaccination records import page.
2. Upload a historic file with valid data.
Verification:
- Output indicates successful import of historic records.
","3491","test_vaccination_file_upload_historic_valid_data","tests","Wed Oct 08 13:33:23 BST 2025","passed","Wed Oct 08 13:33:26 BST 2025","","test_import_vaccinations","",""
"
Test: Record invalid and refused consents and verify activity log entries.
Steps:
1. Open the session and consent tab for the child.
2. Record a 'no response' verbal consent for parent 1.
3. Record a refusal verbal consent for parent 2.
4. Invalidate the refusal from parent 2.
5. Check the session activity log for correct entries.
Verification:
- Activity log contains entries for invalidated consent, refusal, and no response.
","15830","test_invalid_consent","tests","Wed Oct 08 13:38:33 BST 2025","passed","Wed Oct 08 13:38:48 BST 2025","","test_verbal_consent","",""
"
Test: Changing a child's NHS number to an invalid value should fail.
Steps:
1. Setup: Import a fixed child class list and navigate to the children page.
2. Search for the child by name.
3. Open the child's record and edit it.
4. Attempt to change the NHS number to an invalid value (""9123456789"").
5. Continue to submit the change.
Verification:
- An alert appears with the message ""Enter a valid NHS number"".
","7272","test_invalid_nhs_number_change_is_rejected","tests","Wed Oct 08 13:32:11 BST 2025","passed","Wed Oct 08 13:32:18 BST 2025","","test_children","",""
"
Test: End-to-end test for recording MenACWY and Td/IPV (""doubles"") vaccinations
Steps:
1. Setup: Log in as nurse, create session, import class list, and get batch names.
2. Go to online consent URL and fill in child and parent details.
3. Agree to both MenACWY and Td/IPV vaccinations, fill address,
   answer health questions
4. Log in as nurse, navigate to session, set session in progress,
   register child as attending.
5. Record MenACWY and Td/IPV vaccinations for the child.
Verification:
- Final consent message is shown after online consent.
- Both vaccinations are recorded for the child in the session.
","15602","test_recording_doubles_vaccination_e2e","tests","Wed Oct 08 13:31:57 BST 2025","passed","Wed Oct 08 13:32:13 BST 2025","","test_e2e","",""
"
Test: Record verbal consent and triage outcome for a child in a session.
Steps:
1. Schedule session and import class list.
2. Record verbal consent for the child.
3. Update triage outcome to 'safe to vaccinate'.
Verification:
- Triage outcome is updated and reflected for the child.
","7938","test_triage_consent_given_and_triage_outcome","tests","Wed Oct 08 13:37:39 BST 2025","passed","Wed Oct 08 13:37:47 BST 2025","","test_sessions","",""
"
Test: Verify that the start page heading and start link are visible.
Steps:
1. Navigate to the start page.
2. Check that the heading is visible.
3. Check that the start link is visible.
Verification:
- Both the heading and start link are present and visible on the page.
","1050","test_start_page_elements_visible","tests","Wed Oct 08 13:37:38 BST 2025","passed","Wed Oct 08 13:37:39 BST 2025","","test_start","",""
"
Test: Ensure patient details page loads for a child with missing vaccine info
   (MAV-853).
Steps:
1. Setup: Import class list, schedule session, import cohort, and upload vaccination
   records with missing vaccine info.
2. Search for the child by name.
3. Click to view the child's record.
4. Open the activity log.
5. View vaccination details for the child.
Verification:
- Activity log header shows ""Vaccinated with Gardasil 9"".
- Vaccination details show ""Outcome"" as ""Vaccinated"".
","8572","test_patient_details_load_with_missing_vaccine_info","tests","Wed Oct 08 13:31:54 BST 2025","passed","Wed Oct 08 13:32:02 BST 2025","","test_children","",""
"
Test: Upload a child list file with extra whitespace and verify normalization.
Steps:
1. Upload a file with whitespace issues.
2. Navigate to children page.
3. Verify the list is normalized and imported correctly.
Verification:
- Imported list matches expected normalized data.
","33702","test_child_list_file_upload_whitespace_normalization","tests","Wed Oct 08 13:31:33 BST 2025","passed","Wed Oct 08 13:32:07 BST 2025","","test_import_child_lists","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","485","test_batch_name_too_short[Nimenrix]","tests","Wed Oct 08 13:38:04 BST 2025","passed","Wed Oct 08 13:38:04 BST 2025","","test_vaccines","",""
"
Test: Validate Gillick competence assessment notes length and update.
Steps:
1. Open the session for the school and programme.
2. Navigate to Gillick competence assessment for the child.
3. Attempt to complete assessment with notes over 1000 characters (should error).
4. Complete assessment with valid notes.
5. Edit assessment and again try to update with notes over 1000
   characters (should error).
Verification:
- Error is shown for notes over 1000 characters.
- Assessment can be completed and updated with valid notes.
","2717","test_gillick_competence_notes","tests","Wed Oct 08 13:38:22 BST 2025","passed","Wed Oct 08 13:38:25 BST 2025","","test_verbal_consent","",""
"
Test: Log in with valid credentials for each user role and verify dashboard links
   and team information.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Log in as the specified user role and select team if necessary.
3. Verify that all expected dashboard links are visible.
4. Verify that team information is visible in Team page.
5. Log out.
Verification:
- Log out button and all dashboard navigation links are visible after login.
- Team name and email are visible in the Team page.
","1589","test_login_with_valid_credentials[role: superuser]","tests","Wed Oct 08 13:34:01 BST 2025","passed","Wed Oct 08 13:34:03 BST 2025","","test_log_in","",""
"
Test: Submit an online consent form giving consent for flu vaccination
   (nasal spray, injection, or both) and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Agree to flu vaccination, selecting the consent option
   (nasal spray, injection, or both).
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, consent option,
  and health question status.
","6427","test_consent_given_for_flu_vaccination[yes_to_health_questions: True-consent_option: Nasal spray]","tests","Wed Oct 08 13:34:36 BST 2025","passed","Wed Oct 08 13:34:43 BST 2025","","test_online_consent_flu","",""
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","1708","test_batch_add_change_archive[MenQuadfi]","tests","Wed Oct 08 13:37:51 BST 2025","passed","Wed Oct 08 13:37:53 BST 2025","","test_vaccines","",""
"
Test: Upload a valid cohort (class list) file and verify successful import.
Steps:
1. Navigate to cohort import page.
2. Upload a valid cohort file.
Verification:
- Import completes successfully with expected records.
","13006","test_cohort_upload_with_valid_file","tests","Wed Oct 08 13:35:28 BST 2025","passed","Wed Oct 08 13:35:41 BST 2025","","test_programmes","",""
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","1805","test_batch_add_change_archive[Menveo]","tests","Wed Oct 08 13:37:55 BST 2025","passed","Wed Oct 08 13:37:57 BST 2025","","test_vaccines","",""
"
Test: Attempt to add a batch with a name that is too long and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with more than 100 characters.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be less than 100 characters.
","470","test_batch_name_too_long[Fluenz]","tests","Wed Oct 08 13:38:06 BST 2025","passed","Wed Oct 08 13:38:07 BST 2025","","test_vaccines","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","452","test_batch_name_too_short[Menveo]","tests","Wed Oct 08 13:38:02 BST 2025","passed","Wed Oct 08 13:38:03 BST 2025","","test_vaccines","",""
"
Test: Create, edit, and delete a session for a school and verify lifecycle actions.
Steps:
1. Navigate to sessions page.
2. Create a new session for the school and programme.
3. Edit a session to set the date to 3 days from now.
4. Delete all sessions for the school.
Verification:
- Session is created, edited, and deleted without errors.
","7636","test_session_lifecycle","tests","Wed Oct 08 13:38:15 BST 2025","passed","Wed Oct 08 13:38:23 BST 2025","","test_sessions","",""
"
Test: Upload a historic vaccination records file with invalid data and
   verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload a historic file with invalid data.
Verification:
- Output lists errors as expected for each record
","1569","test_vaccination_file_upload_historic_invalid_data","tests","Wed Oct 08 13:33:35 BST 2025","passed","Wed Oct 08 13:33:37 BST 2025","","test_import_vaccinations","",""
"
Test: Submit an online consent form giving consent for one or both
   doubles vaccinations and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to one or both doubles vaccinations as specified by parameter.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. If not both vaccines, select a reason for not giving consent to the other.
6. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccines,
   and health question status.
","4436","test_consent_given_for_doubles_vaccination[yes_to_health_questions: False-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Wed Oct 08 13:34:24 BST 2025","passed","Wed Oct 08 13:34:29 BST 2025","","test_online_consent_doubles","",""
"
Test: Upload a cohort file with only headers and verify no records are imported.
Steps:
1. Navigate to cohort import page.
2. Upload a header-only file.
Verification:
- No records are imported and appropriate message is shown.
","278","test_cohort_upload_with_header_only_file","tests","Wed Oct 08 13:35:52 BST 2025","passed","Wed Oct 08 13:35:52 BST 2025","","test_programmes","",""
"
Test: Generate and verify CSV report for MenACWY and Td/IPV programmes.
Steps:
1. Navigate to reports page.
2. Generate CSV report for MenACWY.
3. Generate CSV report for Td/IPV.
Verification:
- Reports are generated in CSV format for both MenACWY and Td/IPV.
","3408","test_verify_csv_report_for_doubles","tests","Wed Oct 08 13:36:21 BST 2025","passed","Wed Oct 08 13:36:24 BST 2025","","test_programmes","",""
"
Test: Log in with valid credentials for each user role and verify dashboard links
   and team information.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Log in as the specified user role and select team if necessary.
3. Verify that all expected dashboard links are visible.
4. Verify that team information is visible in Team page.
5. Log out.
Verification:
- Log out button and all dashboard navigation links are visible after login.
- Team name and email are visible in the Team page.
","1289","test_login_with_valid_credentials[role: prescriber]","tests","Wed Oct 08 13:34:07 BST 2025","passed","Wed Oct 08 13:34:08 BST 2025","","test_log_in","",""
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","1802","test_batch_add_change_archive[Gardasil 9]","tests","Wed Oct 08 13:37:46 BST 2025","passed","Wed Oct 08 13:37:48 BST 2025","","test_vaccines","",""
"
Test: Edit a vaccination dose to 'not given' and verify outcome.
Steps:
1. Navigate to the child in the programme.
2. Edit the vaccination record and change outcome to 'they refused it'.
3. Save changes.
Verification:
- Alert confirms vaccination outcome recorded as refused.
","4175","test_edit_vaccination_dose_to_not_given","tests","Wed Oct 08 13:36:00 BST 2025","passed","Wed Oct 08 13:36:04 BST 2025","","test_programmes","",""
"
Test: Attempt to log in with invalid or empty credentials and verify error message.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Attempt to log in with the given username and password.
Verification:
- Error message is displayed indicating invalid credentials.
","540","test_login_with_invalid_credentials[password: invalid-username: ]","tests","Wed Oct 08 13:33:52 BST 2025","passed","Wed Oct 08 13:33:53 BST 2025","","test_log_in","",""
"
Test: Generate and verify CarePlus report for HPV programme.
Steps:
1. Navigate to reports page.
2. Generate CarePlus report for HPV.
Verification:
- Report is generated in CarePlus format for HPV.
","1580","test_verify_careplus_report_for_hpv","tests","Wed Oct 08 13:36:07 BST 2025","passed","Wed Oct 08 13:36:09 BST 2025","","test_programmes","",""
"
Test: Submit an online consent form giving consent for one or both
   doubles vaccinations and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to one or both doubles vaccinations as specified by parameter.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. If not both vaccines, select a reason for not giving consent to the other.
6. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccines,
   and health question status.
","4567","test_consent_given_for_doubles_vaccination[yes_to_health_questions: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Wed Oct 08 13:34:58 BST 2025","passed","Wed Oct 08 13:35:03 BST 2025","","test_online_consent_doubles","",""
"
Test: Create, edit, and delete an injected flu vaccination record and verify changes
in the IMMS API and Mavis status.
Steps:
1. Setup: Schedule flu session, import class list, add vaccine batch, and
   register child with verbal consent.
2. Create: Record flu vaccination for the child (LEFT_ARM_UPPER).
3. Verify: Check the vaccination record exists in the IMMS API.
   Check Mavis shows ""Synced"".
4. Edit: Change the delivery site to RIGHT_ARM_LOWER and save.
5. Verify: Check the updated vaccination record in the IMMS API.
   Check Mavis still shows ""Synced"".
6. Edit: Change the outcome to ""They refused it"" and save.
7. Verify: Check the vaccination record is removed from the IMMS API.
   Check Mavis shows ""Not synced"".
","15335","test_create_edit_delete_nasal_flu_vaccination_and_verify_imms_api","tests","Wed Oct 08 13:33:31 BST 2025","passed","Wed Oct 08 13:33:47 BST 2025","","test_imms_api_flu","",""
"
Test: End-to-end test for recording an HPV vaccination for a child.
Steps:
1. Setup: Log in as nurse, create session, import class list, and get batch name.
2. Go to online consent URL and fill in child and parent details.
3. Agree to HPV vaccination, fill address, answer health questions, and confirm.
4. Log in as nurse, navigate to session, set session in progress,
   register child as attending.
5. Record HPV vaccination for the child.
Verification:
- Final consent message is shown after online consent.
- Vaccination is recorded for the child in the session.
","10813","test_recording_hpv_vaccination_e2e","tests","Wed Oct 08 13:31:29 BST 2025","passed","Wed Oct 08 13:31:40 BST 2025","","test_e2e","",""
"
Test: Upload a class list file with only headers and verify no
   records are imported.
Steps:
1. Navigate to class list import page for the correct school and year group.
2. Upload a header-only file.
Verification:
- Output indicates no records imported.
","2054","test_class_list_file_upload_header_only","tests","Wed Oct 08 13:32:56 BST 2025","passed","Wed Oct 08 13:32:58 BST 2025","","test_import_class_lists","",""
