"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test: Upload an empty child list file and verify error handling.
Steps:
1. Navigate to child record import page.
2. Upload an empty file.
Verification:
- Output indicates error or no records imported.
","279","test_child_list_file_upload_empty_file","tests","Wed Oct 01 17:13:06 BST 2025","passed","Wed Oct 01 17:13:06 BST 2025","","test_import_child_lists","",""
"
Test: Upload an empty vaccination records file and verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload an empty file.
Verification:
- Output indicates error or no records imported.
","301","test_vaccination_file_upload_empty_file","tests","Wed Oct 01 17:12:02 BST 2025","passed","Wed Oct 01 17:12:03 BST 2025","","test_import_vaccinations","",""
"
Test: Verify that the Service Guidance link is present and clickable.
Steps:
1. Navigate to the start page.
2. Click the Service Guidance link.
3. Verify the service guidance page is displayed in a new tab.
Verification:
- The Service Guidance page is displayed in a new tab.
","1460","test_service_guidance_link","tests","Wed Oct 01 17:15:58 BST 2025","passed","Wed Oct 01 17:16:00 BST 2025","","test_start","",""
"
Test: Upload a child list file with invalid structure and verify error handling.
Steps:
1. Navigate to child record import page.
2. Upload a file with incorrect structure.
Verification:
- Output indicates structural errors.
","628","test_child_list_file_upload_invalid_structure","tests","Wed Oct 01 17:12:58 BST 2025","passed","Wed Oct 01 17:12:59 BST 2025","","test_import_child_lists","",""
"
Test: Verify that the start page passes accessibility checks.
Steps:
1. Navigate to the start page.
2. Run accessibility checks using the accessibility helper.
Verification:
- No accessibility violations are found on the start page.
","1356","test_accessibility","tests","Wed Oct 01 17:16:00 BST 2025","passed","Wed Oct 01 17:16:01 BST 2025","","test_start","",""
"
Test: Upload a class list file with the wrong year group and verify error handling.
Steps:
1. Navigate to class list import page for the correct school and year group.
2. Upload a file with an incorrect year group.
Verification:
- Output indicates year group mismatch or error.
","2243","test_class_list_file_upload_wrong_year_group","tests","Wed Oct 01 17:14:58 BST 2025","passed","Wed Oct 01 17:15:00 BST 2025","","test_import_class_lists","",""
"
Test: Verify that the start page heading and start link are visible.
Steps:
1. Navigate to the start page.
2. Check that the heading is visible.
3. Check that the start link is visible.
Verification:
- Both the heading and start link are present and visible on the page.
","1120","test_start_page_elements_visible","tests","Wed Oct 01 17:15:56 BST 2025","passed","Wed Oct 01 17:15:57 BST 2025","","test_start","",""
"
Test: Upload a vaccination file with community clinic name case variations and
   verify correct handling.
Steps:
1. Upload a file with clinic name case variations.
Verification:
- Output indicates clinic names are handled case-insensitively and
   imported correctly.
","686","test_vaccination_file_upload_community_clinic_name_case","tests","Wed Oct 01 17:14:26 BST 2025","passed","Wed Oct 01 17:14:26 BST 2025","","test_import_vaccinations","",""
"
Test: Submit an online consent form giving consent for flu vaccination
   (nasal spray, injection, or both) and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Agree to flu vaccination, selecting the consent option
   (nasal spray, injection, or both).
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, consent option,
  and health question status.
","6754","test_consent_given_for_flu_vaccination[yes_to_health_questions: True-consent_option: Nasal spray]","tests","Wed Oct 01 17:11:29 BST 2025","passed","Wed Oct 01 17:11:35 BST 2025","","test_online_consent_flu","",""
"
Test: Upload a child list file with extra whitespace and verify normalization.
Steps:
1. Upload a file with whitespace issues.
2. Navigate to children page.
3. Verify the list is normalized and imported correctly.
Verification:
- Imported list matches expected normalized data.
","32997","test_child_list_file_upload_whitespace_normalization","tests","Wed Oct 01 17:13:09 BST 2025","passed","Wed Oct 01 17:13:42 BST 2025","","test_import_child_lists","",""
"
Test: Submit an online consent form giving consent for flu vaccination
   (nasal spray, injection, or both) and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Agree to flu vaccination, selecting the consent option
   (nasal spray, injection, or both).
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, consent option,
  and health question status.
","8301","test_consent_given_for_flu_vaccination[yes_to_health_questions: True-consent_option: ]","tests","Wed Oct 01 17:11:53 BST 2025","passed","Wed Oct 01 17:12:02 BST 2025","","test_online_consent_flu","",""
"
Test: Upload a cohort file with invalid structure and verify error handling.
Steps:
1. Navigate to cohort import page.
2. Upload a file with incorrect structure.
Verification:
- Import fails and structural error is shown.
","627","test_cohort_upload_with_invalid_structure","tests","Wed Oct 01 17:11:06 BST 2025","passed","Wed Oct 01 17:11:07 BST 2025","","test_programmes","",""
"
Test: Upload a cohort file with only headers and verify no records are imported.
Steps:
1. Navigate to cohort import page.
2. Upload a header-only file.
Verification:
- No records are imported and appropriate message is shown.
","297","test_cohort_upload_with_header_only_file","tests","Wed Oct 01 17:11:10 BST 2025","passed","Wed Oct 01 17:11:11 BST 2025","","test_programmes","",""
"
Test: Attempt to log in with invalid or empty credentials and verify error message.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Attempt to log in with the given username and password.
Verification:
- Error message is displayed indicating invalid credentials.
","474","test_login_with_invalid_credentials[password: invalid-username: invalid]","tests","Wed Oct 01 17:11:52 BST 2025","passed","Wed Oct 01 17:11:52 BST 2025","","test_log_in","",""
"
Test: Submit an online consent form giving consent for one or both
   doubles vaccinations and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to one or both doubles vaccinations as specified by parameter.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. If not both vaccines, select a reason for not giving consent to the other.
6. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccines,
   and health question status.
","5041","test_consent_given_for_doubles_vaccination[yes_to_health_questions: True-programmes: [<Programme.MENACWY: 'MenACWY'>]]","tests","Wed Oct 01 17:15:31 BST 2025","passed","Wed Oct 01 17:15:36 BST 2025","","test_online_consent_doubles","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","543","test_batch_name_too_short[Nimenrix]","tests","Wed Oct 01 17:11:13 BST 2025","passed","Wed Oct 01 17:11:14 BST 2025","","test_vaccines","",""
"
Test: Submit an online consent form giving consent for flu vaccination
   (nasal spray, injection, or both) and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Agree to flu vaccination, selecting the consent option
   (nasal spray, injection, or both).
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, consent option,
  and health question status.
","4471","test_consent_given_for_flu_vaccination[yes_to_health_questions: True-consent_option: Injection]","tests","Wed Oct 01 17:11:42 BST 2025","passed","Wed Oct 01 17:11:47 BST 2025","","test_online_consent_flu","",""
"
Test: Ensure patient details page loads for a child with missing vaccine info
   (MAV-853).
Steps:
1. Setup: Import class list, schedule session, import cohort, and upload vaccination
   records with missing vaccine info.
2. Search for the child by name.
3. Click to view the child's record.
4. Open the activity log.
5. View vaccination details for the child.
Verification:
- Activity log header shows ""Vaccinated with Gardasil 9"".
- Vaccination details show ""Outcome"" as ""Vaccinated"".
","8138","test_patient_details_load_with_missing_vaccine_info","tests","Wed Oct 01 17:15:00 BST 2025","passed","Wed Oct 01 17:15:08 BST 2025","","test_children","",""
"
Test: Validate Gillick competence assessment notes length and update.
Steps:
1. Open the session for the school and programme.
2. Navigate to Gillick competence assessment for the child.
3. Attempt to complete assessment with notes over 1000 characters (should error).
4. Complete assessment with valid notes.
5. Edit assessment and again try to update with notes over 1000
   characters (should error).
Verification:
- Error is shown for notes over 1000 characters.
- Assessment can be completed and updated with valid notes.
","5641","test_gillick_competence_notes","tests","Wed Oct 01 17:15:40 BST 2025","passed","Wed Oct 01 17:15:45 BST 2025","","test_verbal_consent","",""
"
Test: End-to-end test for recording an HPV vaccination for a child.
Steps:
1. Setup: Log in as nurse, create session, import class list, and get batch name.
2. Go to online consent URL and fill in child and parent details.
3. Agree to HPV vaccination, fill address, answer health questions, and confirm.
4. Log in as nurse, navigate to session, set session in progress,
   register child as attending.
5. Record HPV vaccination for the child.
Verification:
- Final consent message is shown after online consent.
- Vaccination is recorded for the child in the session.
","13912","test_recording_hpv_vaccination_e2e","tests","Wed Oct 01 17:16:35 BST 2025","passed","Wed Oct 01 17:16:48 BST 2025","","test_e2e","",""
"
Test: Verify that the Accessibility Statement link is present and clickable.
Steps:
1. Navigate to the start page.
2. Click the Accessibility Statement link.
3. Verify the accessibility statement page is displayed.
Verification:
- The Accessibility Statement page is displayed.
","1297","test_accessibility_statement_link","tests","Wed Oct 01 17:15:57 BST 2025","passed","Wed Oct 01 17:15:58 BST 2025","","test_start","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","443","test_batch_name_too_short[Menveo]","tests","Wed Oct 01 17:11:10 BST 2025","passed","Wed Oct 01 17:11:11 BST 2025","","test_vaccines","",""
"
Test: Verify that the import records page passes accessibility checks.
Steps:
1. Navigate to child record import page.
2. Run accessibility checks.
Verification:
- No accessibility violations are found on the import records page.
","19807","test_accessibility","tests","Wed Oct 01 17:13:44 BST 2025","passed","Wed Oct 01 17:14:04 BST 2025","","test_import_child_lists","",""
"
Test: Upload a SystmOne vaccination records file with invalid data and
   verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload a SystmOne file with invalid data.
Verification:
- Output lists errors as expected for each record
","1506","test_vaccination_file_upload_systmone_invalid_data","tests","Wed Oct 01 17:13:02 BST 2025","passed","Wed Oct 01 17:13:03 BST 2025","","test_import_vaccinations","",""
"
Test: Upload an empty class list file and verify error handling.
Steps:
1. Navigate to class list import page for the correct school and year group.
2. Upload an empty file.
Verification:
- Output indicates error or no records imported.
","1947","test_class_list_file_upload_empty_file","tests","Wed Oct 01 17:14:50 BST 2025","passed","Wed Oct 01 17:14:52 BST 2025","","test_import_class_lists","",""
"
Test: Merging two child records does not cause a crash (MAV-1839).
Steps:
1. Setup: Import a class list with two fixed children and navigate to the
   children page.
2. Search for the first child by name.
3. Open the first child's record and start the archive (merge) process.
4. Select the second child as the duplicate.
5. Complete the archive/merge.
Verification:
- An alert appears with the message ""This record has been archived""
","10855","test_merge_child_records_does_not_crash","tests","Wed Oct 01 17:15:45 BST 2025","passed","Wed Oct 01 17:15:56 BST 2025","","test_children","",""
"
Test: Verify pre-screening questions are pre-filled correctly when recording
   multiple vaccinations in the same session.
Steps:
1. Setup: Schedule sessions for HPV, doubles, and flu for the same school and
   import a fixed child class list.
2. For each programme group (HPV, doubles, flu):
    a. Navigate to the session and register the child as attending.
    b. Go to the consent tab and search for the child.
    c. For each vaccine in the programme group:
        i. Record verbal consent for the child.
        ii. Record a vaccination for the child with a long notes field.
Verification:
- For each combination of vaccines, the correct pre-screening questions
  (""feeling well"", ""not pregnant"") are pre-filled as described in the docstring.
- Long notes (over 1000 characters) are accepted (MAV-955).
","52841","test_pre_screening_questions_prefilled_for_multiple_vaccinations","tests","Wed Oct 01 17:18:34 BST 2025","passed","Wed Oct 01 17:19:27 BST 2025","","test_reset","",""
"
Test: Submit an online consent form refusing HPV vaccination and
   verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Select 'do not agree' to vaccination.
3. Choose refusal reason and provide details.
4. Submit the consent form.
Verification:
- Confirmation text indicates consent was refused for HPV vaccination.
","2997","test_consent_refused_for_hpv_vaccination","tests","Wed Oct 01 17:16:10 BST 2025","passed","Wed Oct 01 17:16:13 BST 2025","","test_online_consent_hpv","",""
"
Test: Generate and verify CSV report for MenACWY and Td/IPV programmes.
Steps:
1. Navigate to reports page.
2. Generate CSV report for MenACWY.
3. Generate CSV report for Td/IPV.
Verification:
- Reports are generated in CSV format for both MenACWY and Td/IPV.
","3324","test_verify_csv_report_for_doubles","tests","Wed Oct 01 17:12:22 BST 2025","passed","Wed Oct 01 17:12:26 BST 2025","","test_programmes","",""
"
Test: Upload a SystmOne historic flu vaccination file for previous years and verify
   it is disallowed.
Steps:
1. Upload a SystmOne historic flu file for previous years.
Verification:
- Output indicates flu vaccinations for previous years are not allowed.
","695","test_vaccination_file_upload_systmone_disallow_flu_for_previous_years","tests","Wed Oct 01 17:14:15 BST 2025","passed","Wed Oct 01 17:14:16 BST 2025","","test_import_vaccinations","",""
"
Test: Match an unmatched consent response to a child and verify activity log.
Steps:
1. Import a fixed child class list for the current year.
2. Navigate to unmatched consent responses and select a child.
3. Click match and complete the matching process.
4. Verify the child is removed from unmatched responses.
5. Go to children page and verify activity log for the matched child.
Verification:
- Matched alert is visible.
- Consent response for the child is no longer visible in unmatched list.
- Activity log for the child shows the match event.
","49955","test_match_unmatched_consent_response_and_verify_activity_log","tests","Wed Oct 01 17:16:24 BST 2025","passed","Wed Oct 01 17:17:14 BST 2025","","test_consent_responses","",""
"
Test: Upload a NIVS historic flu vaccination file for previous years and verify
   it is disallowed.
Steps:
1. Upload a historic flu file for previous years.
Verification:
- Output indicates flu vaccinations for previous years are not allowed.
","700","test_vaccination_file_upload_nivs_disallow_flu_for_previous_years","tests","Wed Oct 01 17:14:09 BST 2025","passed","Wed Oct 01 17:14:10 BST 2025","","test_import_vaccinations","",""
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","2811","test_batch_add_change_archive[Nimenrix]","tests","Wed Oct 01 17:10:51 BST 2025","passed","Wed Oct 01 17:10:54 BST 2025","","test_vaccines","",""
"
Test: Attempt to log in with invalid or empty credentials and verify error message.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Attempt to log in with the given username and password.
Verification:
- Error message is displayed indicating invalid credentials.
","234","test_login_with_invalid_credentials[password: -username: ]","tests","Wed Oct 01 17:11:47 BST 2025","passed","Wed Oct 01 17:11:47 BST 2025","","test_log_in","",""
"
Test: Log in with valid credentials for each user role and verify dashboard links
   and team information.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Log in as the specified user role and select team if necessary.
3. Verify that all expected dashboard links are visible.
4. Verify that team information is visible in Team page.
5. Log out.
Verification:
- Log out button and all dashboard navigation links are visible after login.
- Team name and email are visible in the Team page.
","1387","test_login_with_valid_credentials[role: healthcare_assistant]","tests","Wed Oct 01 17:12:03 BST 2025","passed","Wed Oct 01 17:12:04 BST 2025","","test_log_in","",""
"
Test: Add, edit, and archive a vaccine batch and verify success alerts.
Steps:
1. Click to add a new batch for the given vaccine.
2. Fill in batch name and expiry date, then confirm.
3. Edit the batch expiry date and confirm.
4. Archive the batch and confirm.
Verification:
- Success alerts are visible after each operation (add, edit, archive).
","2818","test_batch_add_change_archive[Revaxis]","tests","Wed Oct 01 17:10:56 BST 2025","passed","Wed Oct 01 17:10:59 BST 2025","","test_vaccines","",""
"
Test: Add and edit Gillick competence assessment for a child.
Steps:
1. Open the session for the school and programme.
2. Navigate to Gillick competence assessment for the child.
3. Add a Gillick competence assessment as competent.
4. Edit the assessment to mark as not competent.
Verification:
- Gillick competence status is updated and reflected for the child.
","5757","test_gillick_competence","tests","Wed Oct 01 17:15:21 BST 2025","passed","Wed Oct 01 17:15:26 BST 2025","","test_verbal_consent","",""
"
Test: Archive an unmatched consent response and verify it is removed from the list.
Steps:
1. Select a child from the unmatched consent responses.
2. Click the archive button and provide notes.
Verification:
- Archived alert is visible.
- The consent response for the child is no longer visible in the unmatched list.
","1433","test_archive_unmatched_consent_response_removes_from_list","tests","Wed Oct 01 17:16:08 BST 2025","passed","Wed Oct 01 17:16:09 BST 2025","","test_consent_responses","",""
"
Test: Upload an invalid vaccination records file and verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload a vaccination file with invalid data.
Verification:
- Output lists errors as expected for each record
","3159","test_vaccination_file_upload_invalid_data","tests","Wed Oct 01 17:11:13 BST 2025","passed","Wed Oct 01 17:11:16 BST 2025","","test_import_vaccinations","",""
"
Test: Upload a historic vaccination records file with invalid data and
   verify error handling.
Steps:
1. Navigate to vaccination records import page.
2. Upload a historic file with invalid data.
Verification:
- Output lists errors as expected for each record
","4315","test_vaccination_file_upload_historic_invalid_data","tests","Wed Oct 01 17:12:26 BST 2025","passed","Wed Oct 01 17:12:30 BST 2025","","test_import_vaccinations","",""
"
Test: Attempt to add a batch with a name that is too short and verify error message.
Steps:
1. Click to add a new batch for the given vaccine.
2. Enter a batch name with only one character.
3. Fill in expiry date and confirm.
Verification:
- Error message is shown indicating the batch name must be more than 2 characters.
","489","test_batch_name_too_short[Gardasil 9]","tests","Wed Oct 01 17:11:04 BST 2025","passed","Wed Oct 01 17:11:05 BST 2025","","test_vaccines","",""
"
Test: Record a paper refusal and verify the consent refused checkbox is checked.
Steps:
1. Open a session with a fixed child.
2. Review a child with no response and record a paper refusal.
3. Go to the overview tab and review consent refused.
Verification:
- Consent refused checkbox is checked for the child.
","5515","test_consent_filters_and_refusal_checkbox","tests","Wed Oct 01 17:12:55 BST 2025","passed","Wed Oct 01 17:13:00 BST 2025","","test_sessions","",""
"
Test: PSDS can be bulk added for children in a session.
Steps:
1. Import two children into a session.
2. Record online consent for the two children.
3. Add PSDs in the session to all eligible children.
Verification:
- The PSDs appear for each child.
","21262","test_bulk_adding_psd","tests","Wed Oct 01 17:17:36 BST 2025","passed","Wed Oct 01 17:17:57 BST 2025","","test_psd","",""
