"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
Test: Upload a class list file with only headers and verify no
   records are imported.
Steps:
1. Navigate to class list import page for the correct school and year group.
2. Upload a header-only file.
Verification:
- Output indicates no records imported.
","2046","test_class_list_file_upload_header_only","tests","Tue Sep 30 17:47:18 BST 2025","passed","Tue Sep 30 17:47:20 BST 2025","","test_import_class_lists","",""
"
Test: Submit an online consent form giving consent for one or both
   doubles vaccinations and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to one or both doubles vaccinations as specified by parameter.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. If not both vaccines, select a reason for not giving consent to the other.
6. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccines,
   and health question status.
","5458","test_consent_given_for_doubles_vaccination[yes_to_health_questions: True-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Tue Sep 30 17:44:45 BST 2025","passed","Tue Sep 30 17:44:50 BST 2025","","test_online_consent_doubles","",""
"
Test: PSDS can be bulk added for children in a session.
Steps:
1. Import two children into a session.
2. Record online consent for the two children.
3. Add PSDs in the session to all eligible children.
Verification:
- The PSDs appear for each child.
","19849","test_bulk_adding_psd","tests","Tue Sep 30 17:49:53 BST 2025","passed","Tue Sep 30 17:50:12 BST 2025","","test_psd","",""
"
Test: Attempt to log in with invalid or empty credentials and verify error message.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Attempt to log in with the given username and password.
Verification:
- Error message is displayed indicating invalid credentials.
","445","test_login_with_invalid_credentials[password: invalid-username: ]","tests","Tue Sep 30 17:44:39 BST 2025","passed","Tue Sep 30 17:44:39 BST 2025","","test_log_in","",""
"
Test: Add and edit Gillick competence assessment for a child.
Steps:
1. Open the session for the school and programme.
2. Navigate to Gillick competence assessment for the child.
3. Add a Gillick competence assessment as competent.
4. Edit the assessment to mark as not competent.
Verification:
- Gillick competence status is updated and reflected for the child.
","2831","test_gillick_competence","tests","Tue Sep 30 17:48:32 BST 2025","passed","Tue Sep 30 17:48:35 BST 2025","","test_verbal_consent","",""
"
Test: Upload duplicate vaccination records and verify duplicate handling.
Steps:
1. Upload a vaccination file with duplicate records.
2. Upload a second file with more duplicates.
Verification:
- Output indicates duplicates are detected and handled.
","4367","test_vaccination_file_upload_duplicate_records","tests","Tue Sep 30 17:43:29 BST 2025","passed","Tue Sep 30 17:43:33 BST 2025","","test_import_vaccinations","",""
"
Test: Log in with valid credentials for each user role and verify dashboard links
   and team information.
Steps:
1. Navigate to the log in page (autouse fixture).
2. Log in as the specified user role and select team if necessary.
3. Verify that all expected dashboard links are visible.
4. Verify that team information is visible in Team page.
5. Log out.
Verification:
- Log out button and all dashboard navigation links are visible after login.
- Team name and email are visible in the Team page.
","1445","test_login_with_valid_credentials[role: prescriber]","tests","Tue Sep 30 17:44:55 BST 2025","passed","Tue Sep 30 17:44:56 BST 2025","","test_log_in","",""
"
Test: Upload an invalid child list file and verify error handling.
Steps:
1. Navigate to child record import page.
2. Upload a child list file with invalid data.
Verification:
- Output lists errors as expected for each record
","721","test_child_list_file_upload_invalid_data","tests","Tue Sep 30 17:45:24 BST 2025","passed","Tue Sep 30 17:45:24 BST 2025","","test_import_child_lists","",""
"
Test: Submit multiple online flu consent forms with different methods and
   verify the correct method is displayed in the session.
Steps:
1. Fill in child and parent details and submit consent with the first method.
2. Submit a second consent for the same child with the
   second method (different parent).
3. Navigate to the session and consent tab.
4. Search for the child and verify the correct consent method is shown.
Verification:
- The consent method displayed in the session matches the expected method
  from the last consent.
","13204","test_flu_consent_method_displayed_correctly[consents: (<ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>, <ConsentOption.INJECTION: 'Injection'>)]","tests","Tue Sep 30 17:46:18 BST 2025","passed","Tue Sep 30 17:46:31 BST 2025","","test_online_consent_flu","",""
"
Test: Upload a class list file with the wrong year group and verify error handling.
Steps:
1. Navigate to class list import page for the correct school and year group.
2. Upload a file with an incorrect year group.
Verification:
- Output indicates year group mismatch or error.
","2507","test_class_list_file_upload_wrong_year_group","tests","Tue Sep 30 17:47:34 BST 2025","passed","Tue Sep 30 17:47:36 BST 2025","","test_import_class_lists","",""
"
Test: Upload a valid class list file and verify successful import.
Steps:
1. Navigate to class list import page for the correct school and year group.
2. Upload a valid class list file.
Verification:
- Output indicates successful import of records.
","12278","test_class_list_file_upload_valid_data","tests","Tue Sep 30 17:46:43 BST 2025","passed","Tue Sep 30 17:46:55 BST 2025","","test_import_class_lists","",""
"
Test: Generate and verify CarePlus report for MenACWY and Td/IPV programmes.
Steps:
1. Navigate to reports page.
2. Generate CarePlus report for MenACWY.
3. Generate CarePlus report for Td/IPV.
Verification:
- Reports are generated in CarePlus format for both MenACWY and Td/IPV.
","3642","test_verify_careplus_report_for_doubles","tests","Tue Sep 30 17:44:06 BST 2025","passed","Tue Sep 30 17:44:09 BST 2025","","test_programmes","",""
"
Test: Click the 'Send reminders' link and PDF download links in sessions and
verify there are no errors.
Steps:
1. Open a session with a fixed child.
2. Click 'Send reminders' link and verify no errors.
3. Attempt to download consent PDFs and verify no errors.
Verification:
- No errors occur when sending reminders or downloading PDFs.
","672","test_session_verify_consent_reminders_and_pdf_downloads","tests","Tue Sep 30 17:48:29 BST 2025","passed","Tue Sep 30 17:48:30 BST 2025","","test_sessions","",""
"
Test: End-to-end test for recording a flu vaccination for a child.
Steps:
1. Setup: Log in as nurse, create session, import class list, and get batch name.
2. Go to online consent URL and fill in child and parent details.
3. Agree to flu vaccination, fill address, answer health questions, and confirm.
4. Log in as nurse, navigate to session, set session in progress,
   register child as attending.
5. Record flu vaccination for the child.
Verification:
- Final consent message is shown after online consent.
- Vaccination is recorded for the child in the session.
","24215","test_recording_flu_vaccination_e2e","tests","Tue Sep 30 17:49:52 BST 2025","passed","Tue Sep 30 17:50:16 BST 2025","","test_e2e","",""
"
Test: Submit an online consent form giving consent for flu vaccination
   (nasal spray, injection, or both) and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page.
2. Agree to flu vaccination, selecting the consent option
   (nasal spray, injection, or both).
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, consent option,
  and health question status.
","6282","test_consent_given_for_flu_vaccination[yes_to_health_questions: False-consent_option: Nasal spray]","tests","Tue Sep 30 17:44:06 BST 2025","passed","Tue Sep 30 17:44:12 BST 2025","","test_online_consent_flu","",""
"
Test: Submit an online consent form giving consent for HPV vaccination and
   verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to HPV vaccination.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccine, and
  health question status.
","4546","test_consent_given_for_hpv_vaccination[yes_to_health_questions: False-change_school: True]","tests","Tue Sep 30 17:48:39 BST 2025","passed","Tue Sep 30 17:48:44 BST 2025","","test_online_consent_hpv","",""
"
Test: Verify that the vaccines page passes accessibility checks.
Steps:
1. Navigate to the vaccines page.
2. Run accessibility checks using the accessibility helper.
Verification:
- No accessibility violations are found on the vaccines page.
","2570","test_accessibility","tests","Tue Sep 30 17:43:43 BST 2025","passed","Tue Sep 30 17:43:46 BST 2025","","test_vaccines","",""
"
Test: Verify that the log in, team and dashboard page pass accessibility checks.
Steps:
1. Navigate to the log in page.
2. Run accessibility checks.
3. Log in as a nurse and choose team if necessary.
4. Run accessibility checks on the dashboard page.
5. Navigate to the team page and run accessibility checks.
Verification:
- No accessibility issues are found on these pages.
","1535","test_accessibility","tests","Tue Sep 30 17:44:58 BST 2025","passed","Tue Sep 30 17:44:59 BST 2025","","test_log_in","",""
"
Test: Submit an online consent form giving consent for one or both
   doubles vaccinations and verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to one or both doubles vaccinations as specified by parameter.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. If not both vaccines, select a reason for not giving consent to the other.
6. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccines,
   and health question status.
","5399","test_consent_given_for_doubles_vaccination[yes_to_health_questions: False-change_school: True-programmes: [<Programme.MENACWY: 'MenACWY'>, <Programme.TD_IPV: 'Td/IPV'>]]","tests","Tue Sep 30 17:43:28 BST 2025","passed","Tue Sep 30 17:43:33 BST 2025","","test_online_consent_doubles","",""
"
Test: Submit an online consent form giving consent for HPV vaccination and
   verify confirmation.
Steps:
1. Fill in child and parent details on the consent page, optionally changing school.
2. Agree to HPV vaccination.
3. Fill in address details.
4. Answer the required number of health questions, optionally marking one as 'yes'.
5. Submit the consent form.
Verification:
- Confirmation message is shown for the correct child, vaccine, and
  health question status.
","4154","test_consent_given_for_hpv_vaccination[yes_to_health_questions: False-change_school: False]","tests","Tue Sep 30 17:48:28 BST 2025","passed","Tue Sep 30 17:48:32 BST 2025","","test_online_consent_hpv","",""
"
Test: Upload a vaccination records file with only headers and verify no records are
   imported.
Steps:
1. Navigate to vaccination records import page.
2. Upload a header-only file.
Verification:
- Output indicates no records imported.
","291","test_vaccination_file_upload_header_only","tests","Tue Sep 30 17:43:56 BST 2025","passed","Tue Sep 30 17:43:57 BST 2025","","test_import_vaccinations","",""
